Label,Text
0,surgery district hospital common illness continue even today second cause death u although incidence pancreatic decline dramatically recent year incidence increase aim present experience result surgical technique apply clinic complication present experience treat five year period treat clinic men mean age year woman mean age year case cancerous lesion involve remain concomitant find separate site within first case tumour find high second case find within transverse six suffer co exist biliary lithiasis thus underwent simultaneous cholecystectomy one simultaneous exploration common lithiasis perform malignant lesion situate underwent abdominoperineal resection low anterior resection lesion find hartmann procedure sigmoidectomy present descending one splenic flexure left hemicolectomy
0,macrophage migration inhibitory factor mif upregulates cxcr contributes chemotherapy resistance one common malignant tumor worldwide high incidence mortality rate make focus research chemotherapy primary modality chemotherapy resistance severely impact efficacy mif find promote tumor progression resistance various aim investigate role mif chemotherapy resistance potential mechanism particularly upregulation cxcr expression affect metabolism drug sensitivity cell expression level mif tissue association prognosis evaluate analyze tcga hpa data subsequently expression level mif cell line resistant cell line detect qrt pcr immunohistochemistry effect mif oxaliplatin sensitivity assess impact mif metabolic activity cell measure use cellular energy metabolism analyzer experiment explore mechanism mif affect metabolic activity cell upregulation
0,left sided right side two different entity background one common world one main cause relate death morocco occupy first place among digestive right side leave side different embryological epidemiological pathological genetic characteristic distinction lead difference evolution prognosis aim identify epidemiological factor pathological characteristic influence perioperative prognostic outcome right side compare left side methodology conduct retrospective cohort period nine year january december include divide two group namely right group n leave group n result average age series year extreme range year old sd year average age right group sd year average age left group sd year male gender predominance sex ratio group among group
0,effect chemotherapy overall survival use propensity score match background common cause associate death united state many factor influence overall survival demographic presentation characteristic goal assess influence chemotherapy similar baseline characteristic material method total stage ii iii confirm pathology age diagnose select de identified national database ncdb include underwent surgical receive hormonal therapy radiation therapy immunotherapy palliative care modality besides chemotherapy exclude calculation propensity score perform compute probability chemotherapy group use logistic regression propensity score match psm via psmatch procedure sa software sas institute cary nc usa receive chemotherapy compare receive chemotherapy greedy near neighbor match method utilized match one chemotherapy one non chemotherapy
0,characteristic among racial minority south bronx year retrospective single health center background one leading cause relate death worldwide incidence increase time last several decade people color racial minority live south bronx poor congressional district united state suffer bad health outcome white counterpart virtually every health indicator aim review characteristic belong racial ethnic minority diagnose age less compare develop equal age year single health center south bronx region method conduct single center retrospective observational follow july june bronx care health system age year old diagnose health system include young year age pregnant diagnose institution exclude result total include bleeding common presentation iron deficiency anemia
0,bibliometric immune dysregulation immunotherapy mismatch repair deficient mismatch repair deficiency dmmr observe sporadic carcinoma dmmr tumor unique genetic characteristic mutation rate time high tumor intact mismatch repair function approximately case exhibit mismatch repair deficiency moreover status dna mismatch repair deficiency hold prognostic predictive significance non metastatic metastatic therefore aim comprehensively conduct bibliometric research mismatch repair deficient identify research trend potential future direction total relevant article obtain web science core collection knowledge graph analyze visualize use vosviewer citespace scimago graphica software bibliometric tool extract calculate evaluation metric categorize country institution highly cite article keyword variable compare term academic impact include citation count citation impact
0,age sex difference relationship body weight change risk nationwide cohort significant health concern obesity well establish risk factor however previous mainly focus assess body weight risk factor specific time point nationwide cohort investigate association body weight change fluctuate throughout individual lifespan incidence use south korean population database provide national health insurance service nhis participant undergo biennial health screening follow health check ups include body weight change categorize follow increase primary outcome incidence newly diagnose statistical use examine relationship body weight change incidence stratify accord age sex kaplan meier method estimate cumulative incidence cox proportional hazard model use calculate hazard ratio hr confidence interval
0,plasma fatty acid risk singapore chinese health fatty acid composition plasma capture dietary intake endogenous synthesis prospective plasma fatty acid composition need establish role monounsaturated fatty acid mufas polyunsaturated fatty acid pufas risk develop evaluate association plasma fatty acid composition risk separately nested case control case equal number individually match control subject conduct within singapore chinese health cohort men woman recruit fatty acid pre diagnostic plasma quantify use gas chromatography tandem mass spectrometry conditional odds ratio confidence interval cis compare high low quartile present inverse association report high essential pufas linolenic acid ci p trend linoleic acid ci p trend high desaturase activity
0,tumor derive exosomal entpd impair cd cell function atp adenosine metabolism reprogramming extracellular atp amp adenosine metabolism play pivotal role modulate tumor immune response previous show conversion atp amp primarily catalyse ectonucleoside triphosphate diphosphohydrolase entpd cd widely atpase express tumor associate immune cell however function atpases derive tumor cell remain poorly understood purpose investigate role cell derive atpases development progression bioinformatic tissue microarray perform investigate expression atpase family member atp hydrolysis assay high performance liquid chromatography hplc cck colony formation assay use determine effect entpd biological function cell flow cytometric rna seq use explore function cd cell immunoelectron microscopy western blotting use evaluate
0,effect dna mismatch repair mmr status oxaliplatin base first line chemotherapy recurrent metastatic dna mismatch repair mmr defect reveals distinct pathologic feature include good prognosis reduced response fluorouracil fu base chemotherapy current standard recurrent metastatic use capecitabine plus oxaliplatin capox continuous infusion fluorouracil plus oxaliplatin folfox investigate effect mmr status outcomes capox folfox first line combination chemotherapy recurrent metastatic analyze treat capox folfox first line combination chemotherapy recurrent metastatic adenocarcinoma february july tumor expression mmr proteins mlh msh detect immunohistochemistry ihc surgically resect tumor specimens microsatellite instability msi analyze polymerase chain reaction pcr amplification use fluorescent dye primer specific microsatellite loci tumor mmr
0,risk factor manifestation outcome national guard hospital jeddah saudi arabia third common worldwide incidence increase day day provision early management lead good prognosis hence evaluate risk factor manifestation outcome national guard health affair ngha jeddah saudi arabia january december compare result accord age group retrospective cohort perform undergo surgical procedure divide following age group young old year old demographic variable age gender collect result classify risk factor feature outcomes comparison different age group make use chi square fisher exact test data store excel microsoft corporation redmond usa analyze use spss ibm corp armonk usa result result reveal male median age diagnosis year old
0,association heavy metal ecological base geographical information system north eastern iran increase middle eastern country exposure environmental pollutant heavy metal implicate however data link generally lack aim explore spatial pattern age standardize incidence rate asr potential association exposure level amount heavy metal exist rice produce north eastern iran data draw iranian population base registry golestan province north eastern iran sample rice mill factory analyse concentration level cadmium nickel cobalt copper selenium lead zinc inverse distance weight idw algorithm use interpolate concentration kind heavy metal surface area exploratory regression conduct build ordinary least square ols model include every possible combination candidate explanatory variable choose
0,understand impact education randomized trial health fair regular screen crc reduce morbidity mortality number factor play role underutilization crc screen population low crc screening rate least likely aware need screen knowledge screen option overall purpose project assess two method increase knowledge crc health fair context one use health educator provide crc information table two provide tour giant inflatable walk model physical depiction healthy tissue polyp crc participate six community health fair event three randomize incorporate use inflatable three use standard display table method use pre post design look change knowledge crc participate health fair examine descriptive statistic participant use frequency proportion mcnemar test
0,epistasis micrornas pathological stage base empirical bayesian elastic net method lead cause worldwide death become clear micrornas mirnas play role progress understand effect mirnas tumorigenesis could lead good prognosis improved however focus differentially express mirnas tumor non tumor sample stage tumor tissue limit work conduct interaction epistasis mirnas epistasis bring effect tumor progression investigate main pair wise epistatic effect mirnas pathological stage use datasets genome atlas develop workflow compose multiple step feature selection base empirical bayesian elastic net eben method first identify main effect use model main effect phenotype second correct phenotype calculate remove significant main effect original phenotype third select feature epistatic
0,number negative lymph node positive impact survival stage iii retrospective observation right side leave side purpose examine effect negative lymph node nln number survival stage iii reduce interference acute inflammation include stage iii undergone elective surgery exclude tumor perforation obstruction ischemia massive tumor bleed retrospective cohort include stage iii single center effect nln year relapse free survival rf year overall survival comparison multivariate factor assess accord tumor location two optimal cutoff value nln proximal distal namely determine plot time dependent receiver operate characteristic curve overall right side leave side respectively high nln right side high nln superior os v p lt rf v
0,nr c affect proliferation invasiveness cell wnt catenin signal pathway aim explore potential correlation nuclear receptor subfamily group c member nr c outcome along mechanism underlie association mrna messenger rna data record pertain retrieve genome atlas tcga database nr c expression discrepancy normal tumor tissue conduct use r software addition also relationship nr c expression prognosis pathological parameter relative role nr c far predict bioinformatics method receiver operating characteristic roc curve use evaluate diagnostic value nr c single cell data sample geo gene expression omnibus database far investigate mechanism low survival associate nr c dysregulation nr c expression three fresh sample respective paracancer
