Label,Text
1,"Primary liver cancer As several of the contributors point out in their introductory paragraphs, hepatocellular cancer (HCC) is the sixth most common cancer, and the third most common cause of cancer death worldwide. The majority of patients have co-existent liver disease and, in some patients, advanced cirrhosis may be the life-limiting disease rather than cancer. Expert assessment of both the malignant and benign disease is therefore required in order to establish the optimal management, and a coordinated multidisciplinary approach is essential. Such an approach is reflected in the authorship of this book with contributions from surgeons, hepatologists, oncologists, radiologists and pathologists, although all are from North American institutions. The initial chapters deal with the aetiology of HCC and recommendations for surveillance. Unlike most cancers there are clear risk factors for the development of cirrhosis, which, once established, carries a 1–8% risk per year of developing HCC. Furthermore, as early disease is potentially curable, HCC meets some of the key criteria for screening; namely, a defined at-risk population and effective therapy for early disease. The problem is that both the currently used modalities, ultrasound and α-feto protein, have limited sensitivity and specificity for early disease. Chowdhury and Satoskar present an excellent overview of the evidence base for the current screening recommendations, and the chapters by Thomas and Oto on radiological diagnosis and by Pillai and Fimmel on emerging biomarkers inform the discussion. The HALT-C study, in which 1000 patients with Hepatitis C were followed prospectively for 4.3 years, demonstrated that the specificity and sensitivity of AFP at the time of diagnosis of HCC was 81 and 61% at 20 ng ml−1, while at 200 ng ml−1 the specificity increased to 100% at the expense of sensitivity, which decreased to 22%. AFP is also affected by patient demographic and underlying liver disease. Alternative markers including the lens culinaris agglutinin glycoform (AFP-L3), des-γ-carboxy prothrombin, α-ℒ-fucosidase, glypican 3 and others remain unproven, and no blood-based biomarker is currently recommended by the AASLD, EASL or EORTC guidelines. Proteomic approaches and measurements of microRNAs have so far failed to yield reproducible and reliable alternatives. In terms of imaging, ultrasound has an overall specificity of 40–80% and sensitivity of 80–100%, but only 25% sensitivity for early disease. Remarkably, only one randomised trial of screening has been performed and this was in China among an at-risk population of 18 000 with hepatitis B. Despite less than 60% adhering to the protocol, there was a 37% reduction in HCC-related mortality. Taking the results of this trial, along with numerous non-randomised prospective studies, the current recommendations are for 6 monthly ultrasound, but there is clearly more to be done to improve both the accuracy of the screening test and the application to the at-risk population. Additionally, at $112 993 per life-year saved, the cost is prohibitive in developing countries with a high incidence. Another promising method to reduce the burden of disease is prevention of known risk factors, which is discussed in the chapter by Dharel and Lau. Worldwide, 52% of patients with HCC have a background of hepatitis B and only 40% have established cirrhosis. With the development of a vaccination to hepatitis B, primary prevention has proved valuable in endemic regions, resulting in a reduction of childhood HCC from 0.52 to 0.13/100 000 since its implementation in 1984. Unfortunately 350 million people remain infected, and secondary prevention using interferon-α has been shown in a randomised trial to reduce the risk of developing HCC from 13 to 2.7%, although the benefit seems greater for those with suppressed HBV DNA. In the western countries and Japan, hepatitis C is present in 50% of those with HCC, but there is no established vaccine, and efforts have focussed on reducing transmission through the screening of blood products introduced in 1992. The risk from transfusion is now less than 0.03%. In patients infected with hepatitis C, interferon-α that causes a sustained virological response, reduces the risk of HCC by ∼75%. Other important risk factors, including cirrhosis secondary to alcohol and non-alcoholic fatty liver disease, are preventable with lifestyle modification. Despite the known and preventable risks, HCC-associated mortality has increased by 40% between 1990 and 2004, while overall cancer deaths have declined by 18%.; ; Pathological and radiological diagnosis is discussed, along with a useful chapter devoted to the differential diagnosis of a ‘focal hepatic lesion'. The multitude of staging systems developed are also reviewed with the relative strengths and weaknesses discussed. The Barcelona Clinic Liver Cancer (BCLC) classification has proved to be one of the most widely used clinical staging system. It has been externally validated and is endorsed by both AASLD and EASL. In addition to prognostic information, the BCLC system provides a therapeutic algorithm that serves as a template for an overview of current therapies discussed by Susnow and colleagues. The accompanying chapter by Dhanasekaran and Cabrera examines emerging therapies that may demand modification of the BCLC system in the future. For early disease, the role of resection as a bridge to transplantation, expansion of the Milan criteria and the role of adjuvant therapy are considered. Novel ablative techniques are reviewed, although High Intensity Focussed Ultrasound (HIFU) is not mentioned. For intermediate disease, conventional transarterial chemoembolisation (TACE) using lipiodol/chemotherapy emulsion is increasingly being replaced with the use of drug-eluting beads, and the benefit of combining systemic therapy with TACE is being explored. Transarterial radioembolisation (TARE) seems to be comparable to TACE in non-randomised cohort comparisons, but is struggling to find a place in the BCLC algorithm in the absence of randomised trials. Perhaps the most active area of clinical investigation is in the management of advanced disease. The success of sorafenib has dispelled the prevailing therapeutic nihilism, and a number of pretenders have challenged sorafenib to the throne in recent years. Since this book was published, several of the mentioned trials have been presented and we now know that suntinib, brivanib and the combination of sorafenib and erlotinib have failed in the first-line randomised trials. Second-line treatment following failure or intolerance to sorafenib is an area of intense investigation with multiple new agents under investigation, although discussion of these agents and the rational for their use was somewhat brief.; ; The book also includes excellent reviews of paraneoplastic syndromes, liver cancer in children, liver anatomy and the management of recurrent disease. Molecular pathology was not included and, given the increasing emphasis on personalised medicine, it would have been interesting to review some of the recent data regarding molecular categorisation of HCC.; ; Overall, this book provides an excellent reference for students, trainees and members of a multidisciplinary team wishing to gain additional insights into the domain of their colleagues."
1,"The Inhibitory Effects of Anti-GPC3 Antibody on Wnt/β-Catenin Signaling Pathway as a Biological Therapy in Liver Cancer. To investigate the effects of anti-GPC3 antibody on the Wnt/catenin pathway in liver cancer biology, thus providing a new target for the biological treatment of the disease. A total of 12 BALB/C experimental nude mice were selected as experimental objects. The mice were all male, weighed 15-20 g and aged 4-5 weeks. First, mouse liver cancer models were constructed. Then, the HepG2 liver cancer cells in logarithmic growth period were inoculated into the caudal veins of mouse models. On the 3rd day after inoculation, the tumor formations of nude mice were observed. Second, the anti-GPC3 antibody was designed and constructed, and the activity of anti-GPC3 antibody was detected. The mouse models were divided into the experimental group (EG) and the control group (CG), with 6 mice in each group. In the EG, mice were injected with 3 mg/kg of anti-GPC3 antibody in the caudal veins once a day for three consecutive days, while in the CG mice were injected with the same amount of saline as the control. Mice in both groups received 3 injections in total. After the last administration, all mice were euthanized using the decapitation method following anesthesia with ethyl ether. The liver cancer cells of nude mice were extracted and cultured in DMEM medium. The effects of anti-GPC3 antibody on Wnt/β-catenin in liver cancer nude mice and the effects of anti-GPC3 antibody on epithelial-mesenchymal transition (EMT) in mouse liver cancer cells were observed. The bodyweight, liver weight and index of mice in the EG increased significantly (P < 0.05). The serum alanine transaminase (ALT), aspartate transaminase (AST), alkaline phosphatase (ALP) levels of mice in the EG were reduced than those in the CG (P < 0.05). Compared with the CG, the superoxide dismutase (SOD) concentration increased, while the malonaldehyde (MDA) concentration decreased in the liver tissues of mice in the EG (P < 0.05). There was binding activity between GPC3 recombinant protein and the antibody; the affinity constant was K<sub>D</sub> = 1.4 × 10<sup>-6</sup> M, compared with the commercial anti-GPC3 antibody, the affinity constant was lower. The interference effects of siRNA on anti-GPC3 antibody were detected by Western Blot. After the injection of anti-GPC3 antibody, the expression of β-catenin siRNA in liver cancer cells decreased significantly. The optical microscope images of mouse liver cancer cells in groups were compared. Through down-regulating the Wnt/β-catenin by anti-GPC3 antibody, the morphology of epithelial cells was maintained, the cells were arranged orderly, the cubic structure was kept stable, and the occurrence of EMT was reduced. However, in the CG, the structure of mouse liver cancer cells was disordered, the obvious EMT occurred (P < 0.05). Through down-regulating the expression of Wnt/β-catenin by anti-GPC3 antibody, the invasiveness, and metastasis of liver cancer cells could be effectively inhibited. Compared with the CG, the number of cells passing through the chamber was significantly reduced (P < 0.05). The anti-GPC3 antibody had inhibitory effect on Wnt/β-catenin signaling pathway. The occurrence of EMT and the invasiveness of liver cancer cells were inhibited effectively. Therefore, the anti-GPC3 antibody could be used as a reference for clinical molecular targeted therapy of liver cancer."
1,"Global, Regional, and National Trends in Incidence and Mortality of Primary Liver Cancer and Its Underlying Etiologies from 1990 to 2019: Results from the Global Burden of Disease Study 2019. <AbstractText Label=""OBJECTIVE"">Primary liver cancer is not only one of the most common causes of cancer deaths but also the second most common cause of premature death worldwide. Understanding the trends in incidence and mortality of primary liver cancer and its etiologies is crucial for development of effective prevention and mitigation strategies. This study aimed to quantify the trends in incidence and mortality of primary liver cancer and its etiologies at the global, regional and national levels using data from Global Burden of Disease (GBD) study.</AbstractText>;           <AbstractText Label=""METHOD"">Annual incident cases, deaths, age-standardized incidence rates (ASIRs), and age-standardized mortality rates (ASMRs) of primary liver cancer and its etiologies, including hepatitis B, hepatitis C, alcohol use, nonalcoholic steatohepatitis, and other causes, between 1990 and 2019 were collected from GBD study 2019. Percentage changes in incident cases and deaths and estimated annual percentage changes (EAPCs) in ASIRs and ASMRs of primary liver cancer and its etiologies were calculated to quantify their temporal trends. Correlations of EAPC in ASIRs and ASMRs with socio-demographic index (SDI) and universal health coverage index (UHCI) in 2019 were separately evaluated by Pearson correlation analyses.</AbstractText>;           <AbstractText Label=""RESULTS"">Globally, the incident cases and deaths of primary liver cancer increased by 43.11% from 373 393 in 1990 to 534 365 in 2019 and 32.68% from 365 213 in 1990 to 484 584 in 2019, respectively. ASIR and ASMR of primary liver cancer decreased by an average of 2.23% (95% CI 1.83%, 2.63%) and 1.93% (95% CI 1.55%, 2.31%) per year between 1990 and 2019 worldwide, respectively. ASIRs and ASMRs of primary liver cancer varied between regions, with an increasing trend in ASIR (EAPC = 0.91; 95% CI 0.47, 1.35) and a stable trend in ASMR (EAPC = 0.42, 95% CI - 0.01, 0.85) of primary liver cancer in high SDI region between 1990 and 2019. Nearly half (91/204) of the countries suffered an increasing trend in ASIR of primary liver cancer and more than one-third (71/204) of the countries suffered an increasing trend in ASIRs of primary liver cancer from all etiologies between 1990 and 2019 worldwide. Positive correlations of EAPC in ASIR and ASMR of primary liver cancer with SDI and UHCI were observed in nations with SDI ≥ 0.7 or UHCI ≥ 70.</AbstractText>;           <AbstractText Label=""CONCLUSION"">Primary liver cancer remains a major public health concern globally, with an increasing trend in the numbers of incident cases and deaths in the past three decades. We observed an increasing trend in ASIR of primary liver cancer in nearly half of the countries and an increasing trend in ASIRs of primary liver cancer by etiology in more than one-third of the countries worldwide. In line with the Sustainable Development Goals, the identification and elimination of risk factors for primary liver cancer will be required to achieve a sustained reduction in liver cancer burden.</AbstractText>;           <CopyrightInformation>© 2023. The Author(s).</CopyrightInformation>"
1,"The immunotherapy mechanism of Hedyotis Diffusae Herba in treating liver cancer: a study based on network pharmacology, bioinformatics, and experimental validation. Liver cancer is a malignant tumor that develops on or inside the liver. Hedyotis diffusa Willd (HDW) plays a significant role in anti-tumor activities; however, its mechanism against liver cancer remains unclear. This study aims to evaluate the immunotherapeutic mechanism of HDW in treating liver cancer through network pharmacology, bioinformatics analysis, and experimental validation. Network pharmacology was utilized to identify the active components and potential targets of HDW from the TCMSP database. A potential target protein-protein interaction (PPI) network was constructed using the STRING database, followed by function and pathway enrichment analysis of the targets using GO and KEGG methods. In addition, the key targets for HDW against liver cancer were identified using five different algorithms in Cytoscape. The TCGA and HPA databases were used to assess the mRNA and protein expression of core target genes in normal liver and liver cancer tissues and their relationship with overall survival in liver cancer, as well as their role in immune infiltration. Molecular docking between the core components of HDW and the core targets was performed using PyMOL software. The effects of HDW on the proliferation and apoptosis of liver cancer cells were examined using MTT and flow cytometry. The regulatory effects of the core component quercetin on core targets were validated using RT-qPCR and Western blot. A total of 163 potential targets were identified by searching for intersections among 7 types of active components and all potential and liver cancer targets. PPI network analysis revealed the core targets IL6 and TNF. GO enrichment analysis involved 2089 biological processes, 76 cellular components, and 196 molecular functions. KEGG enrichment analysis suggested that the anti-cancer effects of HDW might be mediated by the AGE-RAGE signaling pathway, IL-17 signaling pathway, TNF signaling pathway, PI3K-Akt signaling pathway, and NF-κB signaling pathway. Database validation of key targets showed that mRNA and protein expression results for the IL6 gene were contradictory, while those for the TNF gene were consistent, both being underexpressed in liver cancer. Importantly, the expression of IL6 and TNF was related to the infiltration of 24 types of immune cells, with the highest correlation with macrophages. Molecular docking showed that IL6 and TNF had high binding stability with quercetin, with binding energies of - 7.4 and - 6.0 kJ∙mol<sup>-1</sup>, respectively. Experimental validation showed that quercetin inhibited liver cancer cell proliferation and promoted apoptosis in a dose-dependent manner, with protein results indicating that quercetin downregulated the mRNA and protein expression of IL6 and TNF, and upregulated key proteins in the AGE-RAGE signaling pathway, AGEs, and RAGE. This study comprehensively elucidates the activity, potential targets, and molecular mechanisms of HDW against liver cancer, providing a promising strategy for the scientific basis and treatment mechanism of traditional Chinese medicine in treating liver cancer."
1,"Insulin-like growth factors and liver cancer risk in male smokers Liver cancer is the fifth most common cancer worldwide (Bosch et al, 2004), occurs more commonly in men, and has a high fatality among affected patients. Although populations of developing countries have the highest risk with the primary cause being hepatitis B virus (HBV) infection, a trend of increasing incidence has been observed in developed countries (McGlynn et al, 2001). Hepatocellular carcinoma (HCC) accounts for over 85% of cases, but underlying mechanisms of hepatocarcinogenesis are not completely understood and may vary across risk factors (Scharf and Braulke, 2003).; ; The liver is the primary source of circulating insulin-like growth factor(IGF)-I, a peptide hormone of which levels peak at puberty and decrease thereafter (Juul, 2003; Pavelic et al, 2007). IGF-I has been implicated in the regulation of cancer cells through effects on proliferation, differentiation, and apoptosis (Dunn et al, 1997; Pollak, 2000; Moschos and Mantzoros, 2002; Sachdev and Yee, 2007). Pituitary secretion of growth hormone stimulates hepatic IGF-I production, and more than 75% of circulating IGF-I is bound and regulated by IGF binding protein (IGFBP)-3 (Ferry et al, 1999). Although previous studies showed an association between high serum concentrations of IGF-I and risk of prostate, colorectal, and breast cancers (Rowlands et al, 2009; Chan et al, 1998, 2002; Ma et al, 1999; Yu et al, 2002; Renehan et al, 2004), subsequent studies have found low IGF-I levels to be associated with an increased risk for brain and kidney cancer (Lonn et al, 2007; Major et al, 2010). Clinical studies suggest a possible inverse IGF-liver function association, although reverse causality, with low IGF-I levels being a consequence of liver damage, remains a possibility (Wu et al, 1988; Buzzelli et al, 1993). Several studies reported the reduced IGF levels to be independent of liver function and progression of disease, providing support for a potential causal connection (Stuver et al, 2000; Mazziotti et al, 2002; Mattera et al, 2003; Elsammak et al, 2006). However, these studies involved patients who already had cirrhosis or hepatitis C virus (HCV)-related liver disease.; ; Unlike above investigations, the α-Tocopherol, β-Carotene Cancer Prevention (ATBC) Study has a prospective design and involved a large population of men who, although being smokers, did not have liver cirrhosis, chronic alcohol abuse, or cancer at enrolment. In addition, the ATBC Study was conducted in Finland, a developed country with an extremely low prevalence of viral infections of the liver (e.g., HBV, HCV). We conducted a case–cohort study to assess the independent roles of IGF-I and IGFBP-3 in liver cancer aetiology in a population without preexisting diseases that are known risk factors."
1,"Projected epidemiological trends and burden of liver cancer by 2040 based on GBD, CI5plus, and WHO data. Incidence of liver cancer as one of the most common cancers worldwide and become the significant contributor for the mortality among cancer patients. The disease burden, risk factors, and trends in incidence and mortality of liver cancer globally was described subsequently estimated the projections of liver cancer incidence or mortality by 2040. Data regarding age-standardized incidence and mortality rates for liver cancer was obtained from multiple databases, including GLOBOCAN 2020, CI5 volumes I-XI, WHO mortality database, and Global Burden of Disease (GBD)-2019. Concentrating on worldwide variations, this thorough analysis offers insights into patterns of incidence and mortality based on gender and age. Our findings encompass significant indicators, including age-standardized rates (ASRs), average annual percentage change (AAPC), and future projections extending up to the year 2040. Liver cancer holds the sixth position in terms of most frequently diagnosed cancers and stands as the sixth leading cause of cancer-related deaths worldwide in 2020, accounting for 905,677 new cases and 782,000 fatalities. Additionally, liver cancer contributed to 12,528,421 age-standardized disability-adjusted life years (DALYs), with an age-standardized DALYs rate of 161.92 in 2019 worldwide. The age-specific incidence rates exhibited significant variations across different regions, showing a fivefold difference in males and females. A significant increase in incidence was observed in North Europe and Asia, while North African countries reported a higher mortality burden (ASR, 10 per 100,000) compared to developed countries. Since last few years, the incidence and mortality rates have increased and attained Annual Average Percentage Change (AAPC) incidence rate of 7.7 (95% CI 3.9-11.6) for men and the highest AAPC mortality rate of 12.2 (95% CI 9.5-15.0) for women. In 2019, Western Europe emerged as the high-risk region for DALYs related to smoking and alcohol consumption, while high-income North America carried a high risk for DALYs associated with a high body-mass index. The projected trend indicates a surge in new liver cancer incident cases, expected to rise from around 905,347 to an estimated 1,392,474 by 2040. This study described the evidence pertinent to higher incidence trends in liver cancer, particularly among both young and older adults, encompassing males and females, as well as those who are HIV-infected and HBsAg positive. A significant rise in the young population poses a significant public health concern that warrants attention from healthcare professionals to prioritize the promotion of health awareness and the development of effective cancer prevention strategies, particularly in many developing countries."
1,"Invasion and metastasis of liver cancer: expression of intercellular adhesion molecule 1. To study the relationship between intercellular adhesion molecule 1 (ICAM-1) and liver cancer metastasis and to find predicting factors that could indicate the growth and metastasis of liver cancer. Methods: ICAM-1 expression in fresh tissue of normal liver and hepatocellular cancer (HCC) was examined by immunoperoxidase staining. Serum soluble intercellular adhesion molecule 1 (sICAM-1) from patients with a benign HCC tumor, and the expression of ICAM-1 in the orthotopically transplanted LCI-D20 tumor of a nude mouse liver cancer metastasis model, and in human hepatoma, the tumor surrounding tissue and normal liver, was analyzed semiquantitatively by the immuno-dot blot method. Tissue ICAM-1 expression (mRNA level) was detected by Northern blotting. Results: ICAM-1 expression in LD1-20 D metastatic liver cancer had a positive correlation with tumor size and the time after implantation. It increased suddenly as metastasis occurred being 3.03 ± 0.51 before metastasis and 8.24 ± 0.95 after metastasis, P < 0.01, then remained high, appending on the number of sites involved (monosite metastasis 5.48 ± 0.49, multisite metastasis 10.05 ± 1.17, P < 0.05). All six cases of normal liver samples were negative in anti-ICAM-1 immunohistochemical staining, 80.0% (36/45) of the HCC showed some ICAM-1 expression. The rate of positive cells was a little higher in large tumors, tumors with an intact capsule and tumors with metastasis, but there was no significant difference. It was noticed that two cancer emboli also had high ICAM-1 expression. The ICAM-1 concentration in HCC (13.43 ± 0.09) was higher than that in tumor surrounding the liver (5.89 ± 0.17, P < 0.01) and that in normal liver (4.27 ± 0.21, P < 0.01). sICAM-1, like tissue ICAM-1, was higher in HCC patients than in patients (with benign liver tumor and normal controls. Both tissue ICAM-1 and sICAM-1 were higher in the metastasis group than in the group without metastasis (tissue ICAM-1 20.24 ± 0.30 vs 10.23 ± 0.12 P < 0.05; sICAM-1 12.18 ± 0.25 vs 9.77 ± 0.54 P < 0.05). Northern blot analysis revealed that ICAM-1 expression, as indicated by mRNA level, was also higher in HCC and in cancer emboli than in tumor surrounding liver and normal liver. Conclusions: Tissue ICAM-1 and serum sICAM-1 could indicate the stage of HCC, and the potential of hepatoma cells for invasion and metastasis. They may play an important role in the metastasis cascade."
1,"The Demographic and Clinicopathological Characteristics of Hepatopancreatobiliary Cancers From a Specialized Center in India. Introduction Hepatopancreatobiliary (HPB) cancers are a distinct group requiring specialized multidisciplinary care. The present study was an analysis of HPB cancers. Methods The institutional data for two years from 2017 to 2018 was retrieved from the hospital-based cancer registry (HBCR) database in Excel format (Microsoft<sup>®</sup> Corp., Redmond, WA). The demographic details, method of diagnosis, tumor characteristics, and disease extent of the patients with HPB primary sites were retrospectively analyzed. Results Out of the 1417 patients with HPB malignancies, 1193 were analyzed. Most of the patients at our center hailed from North India. The distribution of HPB cancers was as follows: hepatocellular carcinoma (HCC) (n=717, 60.1%), gallbladder (GB) (n=230, 19.3%), periampullary carcinoma (n=76, 6.37%), head of the pancreas (HOP) (n=55, 4.61%), extrahepatic bile duct (EBD) (n=53, 4.44%), intrahepatic bile duct (IBD) (n=32, 2.68%), and body of the pancreas (BOP) (n=30, 2.52%). The most common disease presentation of HPB cancers was in the seventh and sixth decades of life. Male predominance was seen in all HPB cancers except in GB with a higher incidence in females. The predominant cause of chronic liver disease (CLD) with HCC was viral-related (53.7%) with hepatitis B virus (HBV) (34.3%) higher than hepatitis C virus (HCV) (19.2%) followed by non-alcoholic fatty liver disease (NAFLD)/non-alcoholic steatohepatitis (NASH) (24.8%) and then alcohol. Adenocarcinoma was the most common morphology in pancreatobiliary malignancies. The disease presentation was locoregional in 63.4% of HCC, 69.7% of periampullary carcinoma, and 50.9% of HOP cases. The patients with EBD and IBD cancers presented commonly with locoregional disease extent in 60.4% and 62.5%, respectively. Perihilar subsite was more commonly detected (71.7%) as compared to the distal one in the patients with EBD cancers. The patients with GB cancers (GBC) presented with distant metastases in 53.5% and locoregional disease in 33%. Distant metastases were present in 76.7% of the patients with BOP cancers. The liver was a common site of distant metastases in GB, periampullary, and pancreatic cancers. Conclusions The present study highlights the characteristics and the variations in disease presentation in different primary tumor sites of HPB cancers. In view of the common locoregionally advanced disease presentation of HCC, the patients with CLD need surveillance for the early detection of lesions. As the patients with HPB cancers show advanced disease presentation, effective locoregional and systemic therapies are needed."
1,"Dietary alterations modulate the microRNA 29/30 and IGF-1/AKT signaling axis in breast Cancer liver metastasis. Metastatic cancer is incurable and understanding the molecular underpinnings is crucial to improving survival for our patients. The IGF-1/Akt signaling pathway is often impaired in cancer leading to its progression and metastases. Diet modification is known to alter the IGF-1/Akt pathway and affect the expression of microRNA involved in tumor initiation, growth and metastases. Liver metastases are one of the most common type of metastases in breast and colon cancer. In the present study, we looked at the effect of diet modification on the expression of microRNA in normal liver and liver with breast cancer metastases using in vivo model. 6-month-old C57BL/6 J mice were put on either an ad libitum (AL) diet, or 40% calorie restricted (CR) diet or were fasted for 24 h (FA) before sacrifice. MicroRNA array analysis, western blot and qRT-PCR were performed using liver tissue to compare the treatment groups. A breast cancer model was also used to study the changes in microRNA expression in liver of a group of BALB/c mice orthotopically injected with 4 T1 cells in the mammary fat pad, put on either an AL or 30% CR diet. Liver and primary tumor tissues were used to perform qRT-PCR to compare the treatment groups. MicroRNA array analysis showed significant changes in miRNA expression in both CR and FA conditions in normal liver. Expression of miR-29 and miR-30 family members was increased in both CR and FA. Western blot analysis of the normal liver tissue showed that CR and FA downregulated the IGF-1/Akt pathway and qRT-PCR showed that the expression of miR-29b, miR-29c, miR-30a and miR-30b were increased with CR and FA. Liver tissue collected from mice in the breast cancer model showed an increase in expression of miR-29b, miR-29c and miR-30b while tumor tissue showed increased expression of miR-29c, miR-30a and miR-30b. Members of the miR-29 family are known to target and suppress IGF-1, while members of the miR-30 family are known to target and suppress both IGF-1 and IGF-1R. In the present study, we observe that calorie restriction increased the expression of miR-29 and miR-30 in both the normal liver as well as the liver with breast cancer metastases. These findings suggest that dietary alterations may play a role in the treatment of liver metastasis, which should be evaluated further."
1,"Trends and future projections of liver cancer incidence in Hong Kong: a population-based study. <AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">Liver cancer remains a significant burden in Hong Kong. We sought to examine trends in liver cancer incidence using 30 years of cancer registry data in Hong Kong. Additionally, we aimed to assess the impact of age, period and birth cohort on liver cancer incidence, provided projections for liver cancer incidence until 2030, and examined the drivers of liver cancer incidence.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">Data on liver cancer incidence were collected from the Hong Kong Cancer Registry (HKCaR). We assessed age, period, and birth cohort effects using age-period-cohort (APC) models. We employed Bayesian APC analysis with integrated nested Laplace approximations to project the future burden of liver cancer in Hong Kong. Furthermore, we attributed the changes in new liver cancer cases to population growth, population ageing, and epidemiological changes.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">The study included a total of 51,333 individuals, of whom 39,287 (76.53%) were male. From 1991 to 2020, the age-standardized liver cancer incidence rate in Hong Kong continued declining, while the number of new cases increased significantly, especially among males. The net drift, representing the overall annual percentage change of the age-adjusted rate, was - 3.06% (95% confidence interval [CI]: -3.31% to -2.80%) for males and - 3.85% (95% CI: -4.61% to -3.09%) for females. Local drift, which estimates the annual percentage change over time specific to age group, decreased in all age groups for both sexes, with a more pronounced decrease in younger age groups. The period and cohort risk of developing liver cancer also showed decreasing trends for both sexes. The study projected a decline in liver cancer cases for males but an increase for females in Hong Kong, with an estimated 1,083 cases in males and 710 cases in females by 2030. Demographic decomposition analysis revealed that while population growth and ageing were the main drivers of increased liver cancer cases, epidemiologic shifts mostly offset these factors.</AbstractText>;           <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">The period and cohort risk of developing liver cancer in Hong Kong declined due to epidemiological changes. Although the age-standardized incidence rates of liver cancer have also declined, demographic and epidemiological factors have led to lower case expectations in males but a likely increase in females. Further research and epidemiological assessment of the disease are needed.</AbstractText>;           <CopyrightInformation>© 2023. BioMed Central Ltd., part of Springer Nature.</CopyrightInformation>"
