Label,Text
2,"Prognosis of male lung cancer patients with urinary cancer: a study from a national population-based analysis. Lung cancer accounts for the most cancer-related deaths in the world. Our previous study suggested the improved survival of lung cancer patients, mainly female patients, with subsequent metachronous primary breast cancer. However, whether the survival advantages of the two primaries are associated with patients' sex and the specific breast cancer is unclear. Whether male lung cancer patients with another primary may encounter the same survival advantage as female patients is also uncertain. The uncertainty hinders these patients from the potential benefit of lung cancer clinical trial. A total of 343 male lung adenocarcinoma patients with subsequent bladder papillary transitional cell carcinoma (LCBC), 1539 lung adenocarcinoma patients with prior bladder papillary transitional cell carcinoma (BCLC), 1181 lung adenocarcinoma patients with subsequent prostate adenocarcinoma (LCPC), 7426 lung adenocarcinoma patients with prior prostate adenocarcinoma (PCLC), and patients with single bladder/prostate/lung (SLC) cancer were identified from the Surveillance, Epidemiology, and End Results. Patients were classified into simultaneous two primary cancer (sTPC), metachronous two primary cancer 1 (mTPC1), or mTPC2 groups when interval time between two cancers was within 6 months, between 7 and 60 months, or over 60 months, respectively. Propensity matching score program was executed to match the two primary cancers with single primary. Cox regression and competing risk regression were performed to identify confounders associated with all-cause and cancer-specific survival, respectively. The major cancer-related and non-cancer-related death in the two primaries were lung cancer and heart disease, respectively. Median overall survival times since lung primary of LCBC and SLC were 97 and 17 months, respectively, and incidence of all-cause and cancer-specific death in LCBC since lung malignancy was significantly lower (Coef. - 1.24, 95% CI - 1.49 to 0.99; SHR 0.42, 95% CI 0.33-0.53). Among the categorized groups, prognosis values of sTPC and mTPC2 groups were not statically different from that of the matched single lung cancer, whereas increased overall survival time and decreased incidence of all-cause and cancer-specific death relative to the matched patients were observed in mTPC1 group (H.R 0.28, 95% CI 0.19-0.41; SHR 0.33, 95% CI 0.23-0.47). Similar prognosis of LCPC relative to SLC was also observed. Furthermore, a generally improved survival relative to SLC was observed in PCLC (median survival times of PCLC and SLC were 17 and 12 months, respectively; Coef. - 0.32, 95% CI - 0.43 to 0.22; SHR 0.77, 95% CI 0.69-0.85), whereas prognosis of BCLC was similar to the matched ones. These results hinted that survival of lung cancer patients might vary with prior cancer history. Further analysis among groups with the two primaries suggested that advanced bladder cancer was not associated with prognosis of patients with LCBC and BCLC. On the contrary, advanced prostate cancer was associated with all-cause and cancer-specific death in patients with PCLC but not in patients with LCPC. Compared with patients with single lung cancer, male lung cancer patients with subsequent bladder/prostate primary over 6 months experienced generally improved survival. These results were similar to our previous study regarding female lung cancer patients with another breast primary. On the contrary, male lung cancer patients with prior primary malignancy encountered varied prognosis: improved survival relative to single lung primary was observed in lung cancer with prior prostate cancer, whereas prognosis of lung cancer with prior bladder cancer was not different. Therefore, great attention was required to characterize prognosis of lung cancer patients with another primary in advance, which was essential to eliminate the potential bias when these patients were included into the clinical trials."
2,"miR-21: a non-invasive biomarker and potential therapeutic target for lung cancer? We read with great interest the article, published in Cell Biochem Biophys, showing that serum level of miR-21 was significantly elevated in lung cancer patients compared with controls. Receiver operating characteristic (ROC) curve analysis showed that miR-21 could differentiate lung cancer from healthy controls with an AUC (the area under the curve) of 0.85, and the optimal sensitivity and specificity were 85.7 and 86.5 %, respectively [1]. These findings suggest that miR-21 can be a potential non-invasive biomarker for lung cancer patients and miR-21 may be a potential therapeutic target for lung cancer. Lung cancer is one of the most common malignant tumors and is the leading cause of cancer mortality in the world [2]. Non-small cell lung cancer (NSCLC) accounts for approximately 80–85 % of all cases of lung cancer [3]. Despite much advances in lung cancer therapy, the survival rate for lung cancer patients remains very poor [4]. Recent advances in functional genomics provide an increasingly comprehensive portrayal of lung tumorigenesis, but the molecular pathogenesis of lung cancer remains poorly understood. These findings highlight the need for a better understanding of novel molecular mechanisms to guide treatment of lung cancer. MicroRNAs (miRNAs) are small non-coding RNAs that repress target gene expression by a combination of mRNA degradation and translation inhibition [5]. Recently, miR-21 expression was found to be higher in lung cancer serum samples than in control serum samples [3, 6–9]. High serum miR-21 was significantly correlated with tumor node metastases stage and lymph node metastasis of NSCLC patients [3, 5]. Overexpression of miR-21 showed a highly discriminative ROC curve profile, clearly distinguishing cancer patients from cancer-free subjects, and the detection of miR-21 expression yielded high sensitivity and specificity in the diagnosis of lung cancer [7–9]. Furthermore, miR-21 expression was elevated in human lung cancer cell lines (NCI-H446 and NCI-H460) [2]. Human mutS homolog 2 (hMSH2), one of the core mismatch repair genes, is affected in lung cancer development. Zhong et al. [2] found that hMSH2 was directly regulated by miR-21, and miR-21 expression was inversely correlated with hMSH2 expression in human lung cancer cell lines [2]. Notably, upregulation of miR-21 markedly promoted cell proliferation and revealed a higher proportion of cells at S phase. However, knockdown of miR-21 expression led to cell cycle arrest at G2/M phase and inhibited cell proliferation [2]. Similarly, tumor tissues showed an inverse correlation between high expression of miR-21 and low amounts of PTEN protein, where miR-21 suppresses PTEN by direct binding to the 30-UTR of PTEN [5]. Lung cancer cell lines (A549, H1703, and 801D) transfected with miR-21 inhibitor showed decreased endogenous miR-21 levels but significantly increased PTEN protein expression [5]. In addition, A549 and H1703 cells transfected with miR-21 inhibitor could restrain the growth of A549 and H1703 cells, and downregulation of miR-21 with miR-21 inhibitor in 801D cells could restrain its invasion ability [5]. Collectively, available evidence suggests that miR-21 may be a good biomarker for detection of lung cancer, and miR-21 may play an important role in lung cancer. However, further studies, especially in human systems, are needed to comprehensively explore the role of miR-21 in lung cancer, and miR-21 may be a potential therapeutic target for lung cancer. S.-C. Wang (&) Y.-F. Zhang Q. Xie PET/CT Center, Anhui Provincial Hospital, 17 Lujiang Road, Hefei 230001, Anhui, People’s Republic of China e-mail: wangsc3329@163.com"
2,"Prevalence and causes of air pollution and lung cancer in Xuanwei City and Fuyuan County, Yunnan Province, China Xuanwei City and Fuyuan County of the Yunnan Province in south-west China are located in late Permian coal-accumulating areas. Both regions are rich in coal resources and have many coal mines. In the 1970s, epidemiologic studies demonstrated that lung cancer rates in Xuanwei were 4–5 times higher than the average in China [1,2]. The characteristics of these lung cancer incidences in the populations of Xuanwei and Fuyuan were described in previous studies. First, more women in Xuanwei and Fuyuan suffered from lung cancer, in comparison to other areas. The male-to-female ratio of lung cancer incidences in Xuanwei was 1.09∶1. However, almost all of these women did not smoke. In contrast, the male-to-female ratios of lung cancer incidences in China and the United States were 2.07∶1 and 1.8∶1, respectively [3]. Second, the major type of lung cancer in women in Xuanwei and Fuyuan was adenocarcinoma [4]. Third, the rural population suffered from lung cancer more than the urban population [3]. Previous studies demonstrated that indoor air pollution caused by burning “smoky coal” in non-vented indoor fire pits was the main reason for lung cancer in Xuanwei [5–7]. Burning “smoky coal” releases cancer-causing substances such as polycyclic aromatic hydrocarbons [8]. Animal experiments confirmed that the combustion products from burning “smoky coal” were more tumorigenic than those from wood and smokeless coal [9]. In the 1970s, the local government and the Science and Technology Department of the Yunnan Province encouraged and supported the residents of Xuanwei and Fuyuan to modify their fire pits into stoves with chimneys. In the late 1980s, the stove improvement project was completed, and the levels of indoor air pollution as well as lung cancer incidences subsequently decreased [10,11]. However, the indoor air pollution was not able to fully explain the current characteristics of lung cancer in Xuanwei and Fuyuan. The total morbidity and mortality rates from lung cancer did not decrease even after the region-wide household stove improvement. Both rates increased in some towns and villages after the first decade. From 2002 to 2005, the total mortality from lung cancer in Xuanwei was still very high, and the lung cancer rate was 3.3 times higher than elsewhere [12–15]. Therefore, the reason for the unabated high incidence of lung cancer in Xuanwei and Fuyuan must be determined. We hypothesize that despite the elimination of indoor air pollution, industrial developments heightened the outdoor air pollution level. Consequently, the lung cancer rate increased. This hypothesis is supported by the following observations. First, in Xuanwei, coal production and other coal-using industries (e.g., coal coking and thermal power generation) are very important. These industries very rapidly developed. Indeed, coal production, coal coking, and thermal power generation increased more than 5, 10, and 10 times, respectively, over the past 30 years. Within the same period, the mortality rate from lung cancer also increased 4 times (Fig. 1) [12–15]. This direct correlation has prompted us to"
2,"Five-year lung cancer mortality risk analysis and topography in Xuan Wei: a spatiotemporal correlation analysis. In Xuan Wei, China, the lung cancer mortality rate is rising significantly more than that of the nation overall. However, it remains unclear 1) if improved diagnosis can just partially explain this observation and how other local risk factors may be correlated with the lung cancer mortality rate and 2) how the lung cancer mortality rates differ within Xuan Wei and how these spatiotemporal patterns are linked with local risk factors. To increase etiological knowledge, this study evaluated the spatial and temporal distributions of the health effects (the lung cancer mortality rates) from 2011 to 2015. Four steps of spatial analysis were applied, as follows: 1) hotspot analysis to determine the geographical patterns of lung cancer mortality, 2) spatially-weighted sum to identify areas with higher health risks, 3) bivariate statistical analysis to assess the overall correlation between coal mines and lung cancer mortality, and 4) geographically-weighted regression to test for correlations among different towns within Xuan Wei. Women had higher lung cancer mortality rates than those in men, with an increasing trend in both sexes over time. The incidence rates in Laibin Town were the highest in Xuan Wei every year. Over the 5-year study period, the lung cancer mortality was increasingly concentrated in Laibin, Shuanglong, and Longchang, where the smoky coal mines are most concentrated. The population-level health risks from the coal mine in Xuan Wei were mapped and divided into five types of risk areas (Type I – Type IV). Correlation analysis revealed that there was no significant correlation between lung cancer mortality as a whole and coal mine distribution during the 5-year study period. However, the geographically-weighted regression revealed a stronger correlation in medium (Type III) and second-lowest (Type IV) health risks. Xuan Wei lung cancer mortality has increased continuously since the third national retrospective surveys on the causes of death by the Ministry of Health of the People’s Republic of China (2004–2005), especially for local women and residents over 35 years of age. Geographically, lung cancer in Xuan Wei showed unique spatiotemporal clustering. The local lung cancer mortality was significantly correlated with the smoky coal mine geographically. Some specific towns (Laibin, Shuanglong, and Longchang) within Xuan Wei manifested high correlations between lung cancer mortality and coal mines. The effects of coal mines on lung cancer mortality rates also spread geographically outward from these areas. Public health concern regarding lung cancer in Xuan Wei should prioritize higher-risk towns surrounded by smoking coal mines. Intervention strategies for particular toxic coal types require further studies on their chemical characteristics and mechanisms of carcinogenesis. Additional studies are also warranted to systematically examine the local environmental health risks related to coal industries and combustion air pollution and eventually to conduct early screening of lung cancer for local people who are more exposed to smoky coal in high-risk areas."
2,"Lung cancer risk and exposure to air pollution: a multicenter North China case-control study involving 14604 subjects. <AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">For North Chinese lung cancer patients, there is limited study on the distribution of air pollution and smoking related features based on analyses of large-scale, high-quality population datasets. The aim of the study was to fully analyze risk factors for 14604 Subjects.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">Participants and controls were recruited in 11 cities of North China. Participants' basic information (sex, age, marital status, occupation, height, and weight), blood type, smoking history, alcohol consumption, history of lung-related diseases and family history of cancer were collected. PM2.5 concentration data for each year in each city of the study area from 2005 to 2018 were extracted based on geocoding of each person's residential address at the time of diagnosis. Demographic variables and risk factors were compared between cases and matched controls using a univariate conditional logistic regression model. Multivariate conditional logistic regression models were applied to estimate the odds ratio (OR) and 95% confidence interval (CI) for risk factors in univariate analysis. The nomogram model and the calibration curve were developed to predict lung cancer probability for the probability of lung cancer.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">There was a total of 14604 subjects, comprising 7124 lung cancer cases and 7480 healthy controls included in the study. Marital status of unmarried persons, people with a history of lung-related disease, corporate personnel and production /service personnel were protective factors for lung cancer. People younger than 50 years old, people who were smoking and quit smoking, people who had been drinking consistently, people with family history of cancer and PM2.5 exposure were proven to be a risk factor for lung cancer. The risk of lung cancer varied with sex, smoking status and air pollution. Consistent alcohol consumption, persistent smoking and smoking quit were risk factors for lung cancer in men. By smoking status, male was risk factor for lung cancer in never smokers. Consistent alcohol consumption added risk for lung cancer in never smokers. The combined effects of PM2.5 pollution exposure and ever smoking aggravated the incidence of lung cancer. According to air pollution, lung cancer risk factors are completely different in lightly and heavily polluted areas. In lightly polluted areas, a history of lung-related disease was a risk factor for lung cancer. In heavily polluted areas, male, consistent alcohol consumption, a family history of cancer, ever smokers and smoking quit were all risk factors for lung cancer. A nomogram was plotted and the results showed that PM2.5 was the main factor affecting the occurrence of lung cancer.</AbstractText>;           <AbstractText Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"">The large-scale accurate analysis of multiple risk factors in different air quality environments and various populations, provide clear directions and guidance for lung cancer prevention and precise treatment.</AbstractText>;           <CopyrightInformation>© 2023. The Author(s).</CopyrightInformation>"
2,"Survival analysis of patients with primary breast duct carcinoma and lung adenocarcinoma: a population-based study from SEER. The appeal to enroll patients with primary breast and lung cancer in clinical trials is increasing, but survival of these two primary cancers remains to be elucidated. This study analyzed the prognosis of primary breast duct carcinoma with subsequent lung adenocarcinoma (BCLA) and primary breast duct carcinoma with prior lung adenocarcinoma (LABC). Cohorts of 3,515 patients with BCLA and 654 patients with LABC were identified from the Surveillance, Epidemiology, and End Results database. Patients were classified into simultaneous two primary cancer (sTPC), metachronous two primary cancer (mTPC1), or mTPC2 groups when the interval times between breast and lung cancer were within 6 months, between 7 and 60 months, or over 60 months, respectively. The propensity score matching program (PSM) was applied to determine the survival of BCLA/LABC relative to single breast/lung cancer. Cox proportional hazard regression model and competing risk modes were performed to identify confounders associated with all-cause and cancer-specific death, respectively. Survival of patients with LABC/BCLA relative to single breast/lung cancer was accessed via median survival time. The survival of patients with BCLA/LABC was generally poor compared with the survival of those with single breast cancer. The PSM-estimated HR in the sTPC group with BCLA and in the mTPC1 and mTPC2 groups with LABC were 0.75 (95% CI 0.62–0.90), 0.52 (95% CI 0.27–0.98), and 0.36 (95% CI 0.20–0.65), respectively, whereas the SHRs were 0.80 (95% CI 0.66–0.97), 0.68 (95% CI 0.34–1.34), and 0.46 (95% CI 0.27–0.80), respectively, compared with those in the single lung cancer group. By contrast, the survival rates of the remaining patients did not differ. The median survival times since secondary malignancy were 42, 23, and 20 months in the sTPC, mTPC1, and mTPC2 groups with BCLA, respectively, and 18, 60, and 180 months in those with LABC, respectively. For patients with BCLA, the adjusted Cox regression suggested incidences of all-cause deaths in mTPC1group were statically higher than those in sTPC group, whereas the incidences of all-cause and cancer-specific death in the mTPC1 and mTPC2 groups were statistically lower than those in the sTPC group. The prognosis of patients with breast cancer and subsequent lung cancer of over 18 months was not significantly different than that of single lung cancer, which supported the profound appeal to increase the involvement of these two primary cancers in potential beneficial clinical trials. For patients with lung cancer and prior breast cancer of within 6 months and subsequent breast cancer of over 18 months, prognosis was improved relative to single lung cancer. Therefore, additional attention is needed to eliminate the potential bias may when these patients are recruited in the clinical trials."
2,"Global and China trends and forecasts of disease burden for female lung Cancer from 1990 to 2021: a study based on the global burden of disease 2021 database. <AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">In recent years, due to various risk factors, the incidence, prevalence, and mortality rates of female lung cancer have been increasing in both China and globally. This has become a significant public health challenge worldwide. Lung cancer not only poses a severe threat to women's health but also places a heavy burden on families and society.</AbstractText>;           <AbstractText Label=""OBJECTIVE"" NlmCategory=""OBJECTIVE"">To conduct an in-depth analysis of the trends in disease burden for female lung cancer in China and globally from 1990 to 2021 and to forecast the next 15 years (2022-2037). The aim is to provide a reliable theoretical basis and reference value for clinical research and practice in female lung cancer and offer guidance for resource allocation and policy-making in society.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">Based on the Global Burden of Disease (GBD) 2021 database, we analyzed the incidence, prevalence, mortality, and disability-adjusted life years (DALYs) of lung cancer in China and globally from 1990 to 2021. These metrics were stratified by gender (BOTH, MALE, FEMALE), and the average annual percentage change (AAPC) was calculated for each metric over this period. The JOINPOINT regression model was used to analyze the trends in female lung cancer in China and globally from 1990 to 2021. The ARIMA model was applied to forecast the changes in age-standardized incidence rates (ASIR) and age-standardized mortality rates (ASDR) for the next fifteen years (2022-2037) for female lung cancer in China and globally.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">The results indicate an upward trend in incidence, prevalence, mortality, and DALYs for lung cancer in China. Globally, the prevalence of lung cancer showed an increasing trend, while the incidence, mortality, and DALYs demonstrated a declining trend. Both in China and globally, the incidence, prevalence, mortality, and DALY trends for female lung cancer were higher than those for males. From 1990 to 2021, the incidence, prevalence, mortality, and DALYs of female lung cancer in China exhibited an upward trend, with AAPC growth rates of 1.151%, 2.086%, 0.508%, and 0.210%, respectively. Similarly, globally, the incidence, prevalence, and mortality of female lung cancer also showed an upward trend, with growth rates of 0.576%, 1.123%, and 0.276%, respectively, while DALYs showed a slight decline with an AAPC of -0.029%.</AbstractText>;           <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">Although the overall disease burden of female lung cancer is not as high as that of males, the growth rate for female lung cancer is significantly higher than that for males both in China and globally. The overall disease burden and the growth rates of incidence and prevalence of female lung cancer in China are higher than the global average.</AbstractText>;           <CopyrightInformation>© 2025. The Author(s).</CopyrightInformation>"
2,"Gene-expression data integration to squamous cell lung cancer subtypes reveals drug sensitivity Background: Squamous cell lung cancer (SqCC) is the second most common type of lung cancer in the United States. Previous studies have used gene-expression data to classify SqCC samples into four subtypes, including the primitive, classical, secretory and basal subtypes. These subtypes have different survival outcomes, although it is unknown whether these molecular subtypes predict response to therapy. Methods: Here, we analysed RNAseq data of 178 SqCC tumour samples and characterised the features of the different SqCC subtypes to define signature genes and pathway alterations specific to each subtype. Further, we compared the gene-expression features of each molecular subtype to specific time points in models of airway development. We also classified SqCC-derived cell lines and their reported therapeutic vulnerabilities. Results: We found that the primitive subtype may come from a later stage of differentiation, whereas the basal subtype may be from an early time. Most SqCC cell lines responded to one of five anticancer drugs (Panobinostat, 17-AAG, Irinotecan, Topotecan and Paclitaxel), whereas the basal-type cell line EBC-1 was sensitive to three other drugs (PF2341066, AZD6244 and PD-0325901). Conclusion: Compared with the other three subtypes of cell lines, the secretory-type cell lines were significantly less sensitive to the five most effective drugs, possibly because of their low proliferation activity. We provide a bioinformatics framework to explore drug repurposing for cancer subtypes based on the available genomic profiles of tumour samples, normal cell types, cancer cell lines and data of drug sensitivity in cell lines. Lung cancer now accounts for 13% of new cancer cases and 29% of all cancer deaths each year in the United States. Lung cancer is the leading cause of cancer-related mortality worldwide, leading to an estimated 1.4 million deaths in 2010. Lung cancer is a heterogeneous disease with multiple histological and molecular subtypes. Lung cancers are usually classified according to the histological types because the histopathological type of lung cancer correlates with tumour behaviour and prognosis (Beadsmoore and Screaton, 2003). The vast majority of lung cancer types are carcinoma malignancies that arise from epithelial cells. The two most common subtypes of lung cancer are adenocarcinoma and squamous cell lung cancer types (SqCC). Squamous cell lung cancer is the second most common type of lung cancer, usually originating in the large airways in the central part of the lungs. Even for patients with SqCCs, outcomes are variable, suggesting that heterogeneity exists within this subtype. Further classification of SqCC into subtypes may help to understand the disease mechanism better, define the pathways relevant in disease origin and pathogenesis, and help guide treatment."
2,"Polymorphisms of CYP1A1 I462V and GSTM1 genotypes and lung cancer susceptibility in Mongolian Aim: To study the genotype of cytochrome P450 1A1(CYP1A1) I462V and glutathions S-transferase M1( GSTM1) and the relationship of the genetic polymorphism of them with the susceptibility of lung cancer in Mongolia of China. Methods: Allele-specific PCR and a multiplex PCR were employed to identify the genotypes of I462V of CYP1A1 and GSTM1 in a case-control study of 210 lung cancer patients with bronchoscopy diagnosis and 210 matched controls free of malignancy. The frequencies of the variant CYP1A1(Val/Val) genotypes and GSTM1(-) in lung cancer groups were higher than that in control groups (15.24% vs 7.4% and 56.67% vs 40.95% ). The individuals who carried with CYP1A1(Val/Val) or GSTM1(-) genotype had a significantly higher risk of lung cancer, the OR is 2.56 and 1.89 respectively. Stratified histologically the relative risk increased to 2.6 - fold when the patients carried with two valine alleles than the ones carried one valine allele in cases of SCC. GSTM1(-) genotype is the risk factor of SCC (OR=2.39) and AC(OR=2.16). The presence of at least one Val allele of CYP1A1 and GSTM1(-), the risk of lung cancer was increased, the OR was 4.15 for one Val allele and GSTM1(-) and 2.67 for two Val alleles and GSTM1 Considering ages and smoking status, the risk of lung cancer increased when the age less than 50 who carried with CYP1A1 valine (one or two) alleles or the age during the 51 to 65 who carried with GSTM1(-) genotype. The light smokers with CYP1A1 valine alleles and GSTM1(-) have a high risk for lung cancer. No association was found between the light and heavy drinkers with the susceptibility of lung cancer and the genetic polymorphisms of CYP1A1 I462V and GSTM1(-). Conclusion: The valine allele of CYP1A1 was the risk factors of lung cancer especially for SCC and GSTM1(-) also was the risk factor of lung cancer and especially for SCC and AC of Mongolian, China. Light smoking has a influence each other with genotype of CYP1A1 I462V and GSTM1(-) and susceptibility of lung cancer. No relationship was found between the susceptibility of lung cancer and drinkers with genetic polymorphisms of CYP1A1 I462V and GSTM1(-). The influence of genotypes on the susceptibility of lung cancer may depend on the ages. There may be a synergetic interaction between CYP1A1 valine allele and GSTM1(-) genotypes on the elevated susceptibility of lung cancer. So do those genotypes with light smokers. Key words polymorphism; genotype; lung cancer; cytochrome P450xglutathione S-transferase Abbreviations: SCC, squamous cell carcinoma; AC, adenocarcinoma; SCLC, small cell lung cancer; LCLC, large cell lung cancer"
2,"Estradiol-mediated inhibition of Sp1 decreases miR-3194-5p expression to enhance CD44 expression during lung cancer progression. <AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">Sp1, an important transcription factor, is involved in the progression of various cancers. Our previous studies have indicated that Sp1 levels are increased in the early stage of lung cancer progression but decrease during the late stage, leading to poor prognosis. In addition, estrogen has been shown to be involved in lung cancer progression. According to previous studies, Sp1 can interact with the estrogen receptor (ER) to coregulate gene expression. The role of interaction between Sp1 and ER in lung cancer progression is still unknown and will be clarified in this study.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">The clinical relevance between Sp1 levels and survival rates in young women with lung cancer was studied by immunohistochemistry. We validated the sex dependence of lung cancer progression in EGFR<sup>L858R</sup>-induced lung cancer mice. Wound healing assays, chamber assays and sphere formation assays in A549 cells, Taxol-induced drug-resistant A549 (A549-T24) and estradiol (E2)-treated A549 (E2-A549) cells were performed to investigate the roles of Taxol and E2 in lung cancer progression. Luciferase reporter assays, immunoblot and q-PCR were performed to evaluate the interaction between Sp1, microRNAs and CD44. Tail vein-injected xenograft experiments were performed to study lung metastasis. Samples obtained from lung cancer patients were used to study the mRNA level of CD44 by q-PCR and the protein levels of Sp1 and CD44 by immunoblot and immunohistochemistry.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">In this study, we found that Sp1 expression was decreased in premenopausal women with late-stage lung cancer, resulting in a poor prognosis. Tumor formation was more substantial in female EGFR<sup>L858R</sup> mice than in male mice and ovariectomized female mice, indicating that E2 might be involved in the poor prognosis of lung cancer. We herein report that Sp1 negatively regulates metastasis and cancer stemness in E2-A549 and A549-T24 cells. Furthermore, E2 increases the mRNA and protein levels of RING finger protein 4 (RNF4), which is the E3-ligase of Sp1, and thereby decreases Sp1 levels by promoting Sp1 degradation. Sp1 can be recruited to the promoter of miR-3194-5p, and positively regulate its expression. Furthermore, there was a strong inverse correlation between Sp1 and CD44 levels in clinical lung cancer specimens. Sp1 inhibited CD44 expression by increasing the expression of miR-3194-5p, miR-218-5p, miR-193-5p, miR-182-5p and miR-135-5p, ultimately resulting in lung cancer malignancy.</AbstractText>;           <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">Premenopausal women with lung cancer and decreased Sp1 levels have a poor prognosis. E2 increases RNF4 expression to repress Sp1 levels in premenopausal women with lung cancer, thus decreasing the expression of several miRNAs that can target CD44 and ultimately leading to cancer malignancy.</AbstractText>;           <CopyrightInformation>© 2022. The Author(s).</CopyrightInformation>"
