序号,label,cleaned_text,label_encoded
1,Colon_Cancer,bacteroides fragilis b fragilis produce biofilm colonisation intestinal tract cause series inflammatory reactions due b fragilis toxin bft lead chronic intestinal inflammation tissue injury play crucial role leading crc enterotoxigenic b fragilis etbf forms biofilm produce toxin play role crc whereas nontoxigenic b fragilis ntbf produce toxin etbf triggers expression cyclooxygenase cox releases pge inducing inflammation control cell proliferation chronic intestinal inflammation development involves signal transducers activators transcription stat activation stat activates interaction epithelial cells bft thus regulatory tcell,0
2,Colon_Cancer,advances technology hardware computing created new opportunities improve quality care research leveraging informatics innovations digital health machine learning precision oncology key areas noteworthy advances field informatics adoption smartphones wearable technologies increases patientgenerated health data physical activity electronic patientreported outcomes pros leveraged prevention interventions remote monitoring treatment survivorship predict health outcomes moving beyond clinical trials health systems increasingly seeking integrate pros routine care processes part national institute nci moonshot initiative six healthcare systems systematically integrate pros clinical workflows electronic health,0
3,Colon_Cancer,bousmalis leveraged cgan contentsimilarity loss generate realistic target images jointly trained gan discriminator task network unidirectional translation applied remove dataset variations example bentaieb et al designed stain normalization approach using task conditional gan translate images reference stain madani et al proposed semisupervised approach cardiac abnormality classification using using gan discriminator abnormality classification minimally labeled xray images showed adversarial loss could reduce domain overfitting mahmood translated real endoscopy images graphicallyrendered synthetic images groundtruth annotations depthestimation surgical navigation unidirectional translation also,0
4,Colon_Cancer,surfacecontrolled waterdispersible form curcumin called theracurmin area blood concentrationtime curve auc theracurmin humans fold higher curcumin powder previously reported antiinflammatory effects theracurmin knee osteoarthritishypothesispurpose determined clinical effects orally administered theracurmin patients knee osteoarthritis month periodstudy design open prospective studymethods fifty patients kellgrenlawrence grade ii iii iv knee osteoarthritis years old enrolled clinical study theracurmin containing mgday curcumin administered orally every day months monitor adverse events blood biochemistry analyses performed months intervention patients knee symptoms evaluated months based japanese knee,0
5,Colon_Cancer,covid pandemic emergency departments noted significant decrease strokepatients performed timely analysis bavarian telestroke tempis working diagnosis databasemethods twelve hospitals tempis network selected data collected january april years extracted analyzed presumed definite ischemic stroke amongst otherdisorders addition recommendations intravenous thrombolysis rtpa endovascular thrombectomy evtwere noted mobility data region analyzed statistically valid groupcomparison tested fisher sexact test considering unpaired observations apvalue considered significantresults upon lockdown midmarch observed significant reduction recommendations rtpa compared preceding three years vs p recommendations evt werep reflecting,0
6,Colon_Cancer,purpose explore new therapeutic option patients hepatocellular hcc efficacy safety group traditional chinese medicines banxia xiexin recipe monotherapy patients advanced hcc studied materials methods study included patients advanced hcc august august analysis eligible patients received treatment banxia xiexin recipe least month primary endpoints progressionfree survival pfs overall survival os secondary efficacy endpoints included objective response rate orr disease control rate dcr addition safety also assessed results median treatment duration patients months range months followup still ongoing median pfs months,0
7,Colon_Cancer,study hypothesizes bromelain bl acts radiosensitizer cells protects normal cells radiation effects vitro vivo studies carried prove assumption vitro mtt cell proliferation assay shown irradiated ehrlich ascites eac cell line could sensitized bl pretreatment vivo animals randomly divided groups group control pbs ip days group ehrlich solid est bearing mice group est radiation fractionated dose gy group est bl mgkg ip daily days group est bl days followed irradiation gy size weight tumors gammairradiated est bearing mice treated bl,0
8,Colon_Cancer,mesothelioma aggressive associated asbestos exposure median survival time months following diagnosis given mesothelial cells also line peritoneum pericardium mesothelioma present unusual sites patients nonrespiratory complaints yearold male presented emergency department worsening intermittent diffuse abdominal pain past months associated unintentional pound weight loss early satiety diarrhea denied exposure asbestos computed tomography imaging revealed multiple masses concerning including primary retroperitoneal mass mass involving terminal ileum mass right upper lung esophagogastroduodenoscopy demonstrated significant mass effect within stomach without signs endoluminal infiltration computed,0
9,Colon_Cancer,novel coronavirus sarscov found cause highly contagious disease characterized pneumonia disease covid quickly spread around globe escalating global pandemic review discuss virological immunological imaging approaches harnessed covid diagnosis research covid shares many clinical characteristics respiratory illnessesaccurate early detection infection pivotal controlling outbreak enables case identification isolation contact tracing summarize available literature current laboratory pointofcare diagnostics highlight strengths limitations describe emerging diagnostic approaches horizonwe also discuss various research techniques used evaluate host immunity laboratoryconfirmed patients additionally pathological imaging tissue samples,0
10,Colon_Cancer,netosis type regulated cell death dependent formation neutrophil extracellular traps net netlike structures decondensed chromatin andproteases produced polymorphonuclear pmn granulocytes structuresimmobilise pathogens restrict antimicrobial molecules thus preventing theirspread whilst nets possess fundamental antimicrobial function within innate immunesystem physiological circumstances increasing evidence also indicates netosisoccurs pathogenic process disease type including limited atherosclerosis airway inflammation alzheimer stroke reviewed role ofnetosis development injury including injury brain lung heart kidneymusculoskeletal system gut reproductive system whilst therapeutic agents blockinginjuries induced netosis primitive stages also,0
