序号,label,cleaned_text,label_encoded
1,Liver_Cancer,ace enhances sensitivity pd l blockade inhibiting macrophage induced immunosuppression angiogenesis anti pd l based combination immunotherapy become first line treatment unresectable however objective response rate lower highlighting need identify mechanisms tolerance immune checkpoint inhibitors accurate biomarkers response study used next generation sequencing analyze samples patients receiving anti pd l therapy activation renin angiotensin system elevated nonresponders compared responders angiotensin converting enzyme ace expression significantly downregulated nonresponders ace deficiency promoted development anti pd l resistance whereas ace overexpression inhibited,1
2,Liver_Cancer,intermittent hypoxia alleviates increased vegf pro angiogenic potential cells vascular endothelial growth factor vegf important angiogenic factor vegf rebound induced hypoxia following transarterial embolization chemoembolization primary associated treatment failure poor survival rates patients present study investigated ability intermittent hypoxia alleviate acute hypoxia induced increase vegf decrease pro angiogenic potential cells cells exposed normoxia acute intermittent hypoxia expression vegf determined using reverse transcription quantitative polymerase chain reaction analysis western blotting pro angiogenic effects acute intermittent hypoxia exposed cells endothelial cells,1
3,Liver_Cancer,adjuvant transarterial chemoembolization influence recurrence free overall survival patients combined cholangiocarcinoma curative resection propensity score matching analysis prognosis patients combined intrahepatic cholangiocarcinoma chc usually poor effective adjuvant therapy missing making important investigate whether patients may benefit adjuvant transarterial chemoembolization tace aimed evaluate efficiency adjuvant tace long term recurrence survival curative resection propensity score matching psm analysis retrospective study patients underwent resection chc january december patients received adjuvant tace univariate multivariate regression analyses used identify independent predictive factors survival cox,1
4,Liver_Cancer,age specific features clinical significance nrf mapk expression patients abstracttext label background nlmcategory background nuclear factor erythroid derived like nrf functions decline age however cells hijack pathways ensure survival aggressiveness yet role nrf rarely investigated age specific manner study investigates expression nrf activator mapk different age groups patients addition age specific features nrf mapk interaction clinical significance abstracttext abstracttext label methods nlmcategory methods near tissue samples patients used complete protein expression analysis nrf mapk patients survival clinical data collected,1
5,Liver_Cancer,studies organellae bearing animals ii catalase activity animals treated cyto plasmic organellae hepatoma cell ah cell hepatoma bearing animals author studied distribution polysaccharides amino acid composition cytoplasmic organellae problems come call great interest field studies bearing animals also biochemical electron microscopic observations carried study influences cytoplasmic organellae cells ah livers bearing animals normal catalase activity results obtained follows cytoplasmic organellae various cells affect markedly hexose metabolism amino acid pattern cytoplasmic organellae various cells studied paperchromatography interesting note pattern bearing,1
6,Liver_Cancer,high intratumoral metastasis associated colon expression predicts poor outcomes cryoablation therapy advanced cryoablation one local therapies safety effect studied patients child class b barcelona clinic bclc stage c metastasis associated colon macc overexpression associated poor prognosis predictive value post cryoablation outcomes remains unknown patients bclc stage c study assessed safety outcomes cryoablation measured time progression ttp overall survival os predictive value macc mrna protein overexpression tumorous tissue post cryoablation outcomes advanced patients child pugh class b quantitative polymerase chain,1
7,Liver_Cancer,tissue infiltrating lymphocytes signature predicts survival patients early intermediate stage intratumoral immune infiltrates manifested robust prognostic signature patients hypothesized novel tissue related immune signature tris could improve prediction postoperative survival patients diagnosed early intermediate twenty eight immune features immunohistochemically examined specimens lasso cox regression model used construct five feature based tris univariate multivariate cox analyses performed based independent predictors immune clinical prognostic index icpi established performance assessment measured c index compared seven traditional staging systems independent validation cohort n,1
8,Liver_Cancer,pexpression analyses key members rdgn tissues benign diseases human abstract aim analyze differences expression dach different groups diseases fatty chronic hepatitis study relationship clinical pathological features stage pathologic grade type age gender expression dach six main members retinal determination gene network rdgn explore correlation among dach six cyclind tissues methods expression dach one tissue microarray including cases different diseases expression dach six cyclind another tissue microarray including cases normal detected immunohistochemical methods one way anova chi square test orderly,1
9,Liver_Cancer,incidence saudi arabia decreasing trend leading cause mortality morbidity worldwide existing data burden saudi arabia limited therefore study aimed analyze incidence mortality trends saudi arabia two decades compare regional worldwide data incidence data saudi arabia collected national registry reports study period additionally global regional data burden obtained world health organization international agency research iarc global observatory website saudi arabia revealed relatively lower burden compared global rates males showed decreasing trend age standardized incidence rates study period females displayed steady,1
10,Liver_Cancer,associating partition portal vein ligation staged hepatectomy colorectal metastasis single center experience abstracttext label background nlmcategory unassigned associated partition portal vein ligation staged hepatectomy alpps increasingly used treatment primarily unresectable colorectal metastases crlm insufficient future remnant flr aim study share experience alpps advanced crlm review role alpps management patients crlm abstracttext abstracttext label methods nlmcategory unassigned consecutive patients n crlm underwent alpps center december october retrospectively studied abstracttext abstracttext label results nlmcategory unassigned median age patients years range years,1
11,Liver_Cancer,synthetic mir mimics delivered exosomes repress downregulating lymphoid enhancer factor abstracttext label background nlmcategory background dysregulation exosomal micrornas plays important role progression hepatocarcinogenesis study investigated therapeutic potential synthetic exosomal mir cells explored feasibility derived exosomes drug delivery vehicles abstracttext abstracttext label methods nlmcategory methods proliferation migration assays performed examine effects mir vitro direct target gene mir identified mirecords analysis target validation transferring efficiency anti effect exosomes different origin studied optimal mir delivery method established verified vitro vivo addition relationships,1
12,Liver_Cancer,spatial immunophenotypes predict clinical outcome intrahepatic cholangiocarcinoma abstracttext label background amp aims nlmcategory unassigned intrahepatic cholangiocarcinoma icca severe shows modest responses immunotherapy aimed identify spatial immunophenotypes icca delineate potential immune escape mechanisms abstracttext abstracttext label method nlmcategory unassigned multiplex immunohistochemistry mihc performed quantitatively evaluate distribution immune cell subsets intratumour invasive margin peritumour areas cohort treatment na patients icca multiregion unsupervised clustering used determine three spatial immunophenotypes multiomics analyses carried explore functional differences b results b icca displayed region specific,1
13,Liver_Cancer,nomogram models predicting risk prognosis newly diagnosed ovarian patients metastases large population based real world study b background b previous studies metastases lm newly diagnosed ovarian ndoc patients based surveillance epidemiology end results seer program disregarded selection bias missing data b methods b identified data ndoc patients seer presented comprehensive description dataset limited possible biases due missing data applying multiple imputation mi determined predictive factors underlying lm development ndoc patients evaluated prognostic factors ndoc patients lm oclm established predictive,1
14,Liver_Cancer,predicting risk using comprehensive medical history abstracttext label background objectives mortality rising faster significantly impacting life expectancy due relatively young median age diagnosis high mortality rate currently consistently recommended screening tests individuals high risk profile abnormalities body systems disease study aims screen various body system diseases might associated risk abstracttext abstracttext label methods study utilized us database including us based adults aged least absolute shrinkage selection operator regression logistic regression used identify significant predictors calculate odds ratios ors statistical,1
15,Liver_Cancer,autophagy activation contributes tolerance oxaliplatin via reactive oxygen species modulation purpose understanding roles mammalian autophagy highlights recent advances pharmacologic manipulation autophagic pathways therapeutic strategy however autophagy status corresponding functions therapeutic stress remain clarified study determine whether autophagic machinery could activated chemotherapy contribution autophagy tolerance oxaliplatin experimental design autophagy activation cell death induced oxaliplatin examined two cell lines well vivo using model nude mice tissue samples without locoregional chemotherapy surgery also examined immunohistochemical electron microscopic analysis results autophagy functionally activated,1
16,Liver_Cancer,knockdown lncrna linc suppresses tumorigenesis via sponging mir p background frequent poor prognosis high mortality world reported many lncrnas could modulate tumorigenesis identify novel potential targets differential expressed lncrnas adjacent normal tissues analyzed bioinformatics tool methods differential expressed lncrnas adjacent normal tissues analyzed bioinformatics tool cell viability proliferation tested cck ki respectively apoptosis cells tested flow cytometry gene protein expressions cells measured qrt pcr western blot respectively vivo model established detect effect linc vivo results linc found negatively correlated,1
17,Liver_Cancer,evaluation midkine diagnostic serum biomarker purpose evaluate value serum midkine mdk diagnostic biomarker particularly negative alpha fetoprotein afp early stage experimental design mdk expression tumors assessed immunohistochemistry patients carcinomas serum mdk levels detected elisa participants including carcinomas hospital controls different medical centers sensitivities specificities serum mdk diagnosing according afp level barcelona clinic bclc stage analyzed results mdk levels significantly elevated tissues well serum samples sensitivity serum mdk diagnosis much higher afp vs similar specificities vs notably serum mdk outstanding,1
18,Liver_Cancer,fmo associated fibroblasts sensitize anti pd therapy patients abstracttext label background nlmcategory background efficacy immune checkpoint inhibitors icis limited heterogeneity individual responses therapy heterogeneous phenotypes crucial roles associated fibroblasts cafs immunotherapy resistance remain largely unclear abstracttext abstracttext label methods nlmcategory methods specific caf subset identified integrating comprehensive single cell rna sequencing spatial transcriptomics transcriptome profiling patients different responses antiprogrammed cell death protein anti pd therapy mouse orthotopic models coculture system constructed cytometry time flight analysis performed investigate functions mechanisms,1
19,Liver_Cancer,metastases detected intraoperatively indicates worse prognosis colorectal metastases patients resection combined microwave ablation abstracttext label background nlmcategory unassigned whether numbers detected surgery compared preoperative image affecting survival colorectal metastases crlm patients hepatectomy combined microwave ablation mwa remains unclear abstracttext abstracttext label methods nlmcategory unassigned crlm patients underwent hepatectomy combined mwa retrospectively assessed compared numbers preoperative image patients equal intraoperative numbers defined equal number group n patients detected numbers surgery defined number group n clinicopathological factors prognosis compared two groups,1
20,Liver_Cancer,association disease condition changes intestinal flora plasma endotoxin vascular endothelial growth factor levels patients objective currently therapeutic effect patients associated disease development meanwhile efficacy patients advanced far satisfactory therefore aim study explore association disease condition changes function indexes intestinal flora plasma endotoxin et vascular endothelial growth factor vegf levels patients patients methods total patients primary hospital enrolled study patients divided three groups including early group middle group advanced group peripheral blood collected subject detect function indexes procalcitonin pct plasma,1
21,Liver_Cancer,hepatoscan ensemble classification learning models disease detection jats p dangerous disease poses significant risks human health complexity early detection increases due unpredictable growth cells paper introduces hepatoscan ensemble classification detect diagnose tumors datasets proposed hepatoscan integrated approach classifies three types cholangiocarcinoma angiosarcoma initial stage starts second stage spreads parts body deep learning emerging domain develops advanced learning models detect diagnose early stages train pre trained model inceptionv datasets identify advanced patterns associated tumors cells accurate segmentation classification lesions computed,1
22,Liver_Cancer,nuclear matrix protein alterations associated colon metastasis purpose development colon markers detect metastases early predict patients risk develop metastases would major impact disease previously identified g brunagel et al research nuclear matrix proteins nmps associated colon objective study identify existence specific nmp fingerprint human metastasis colon experimental design using high resolution two dimensional gel electrophoresis analyzed nmp expression matched metastases adjacent normal samples three normal donor samples compared colon nmp patterns along several primary cell systems lines results analysis,1
23,Liver_Cancer,data circrpn inhibits aerobic glycolysis metastasis jats p lt div gt abstract lt p gt although circular rnas circrna known modulate initiation progression role metastasis remains poorly understood three metastasis associated circrnas identified previous circrna sequencing study screened validated two cohorts circrpn downregulated highly metastatic cell lines tissues metastasis patients lower circrpn levels displayed shorter overall survival higher rates cumulative recurrence mechanistic studies lt gt vitro lt gt lt gt vivo lt gt revealed circrpn binds enolase eno accelerates,1
24,Liver_Cancer,obesity obesity related metabolic disorders become globally prevalent posing challenge chronically damaged predisposing development progression rising phenomenon obesity epidemic may provide means understanding one malignancies rising incidence developed countries last decades non alcoholic fatty disease associated obesity insulin resistance type diabetes increasingly recognized trigger western populations characterized low prevalence established risk factors viral hepatitis hepatotoxin exposure accumulating evidence established association higher body mass index indicator general obesity higher risk primary associations stronger men patients underlying disease white ethnic groups,1
25,Liver_Cancer,screening identification molecular marker metastatic metastastic also called secondary refers transferred parts body portal vein artery lymph metastatic generally lung mammary gland colon pancreas stomach well leukemia hemocyte said stomach pancreatic colon could transferred portal vein breast lung could transferred artery generally speaking metastatic free hbv infection hepatitis hepatocirrhosis afp normal cea raised per ct detection various focal nodes found inside may suffer necrobiosis cystic degeneration bleeding calcification generally metastatic merged portal vein embolus well defined symptoms found early,1
26,Liver_Cancer,nccn newsnew reliable source free information people gallbladder duct offered nccnnccn convenes summit providing high quality care evolving policy tech landscape new reliable source free information people gallbladder duct offered nccnnccn released brand new resource help people gallbladder duct better understand critical decisions make care new edition nccn guidelines patients takes evidence based expert consensus treatment recommendations nccn clinical practice guidelines oncology nccn guidelines creates patient friendly version easy follow wording funding provided nccn foundation sponsorship global institute content,1
