序号,label,cleaned_text,label_encoded
1,Stomach_Cancer,synchronous prevalence colorectal neoplasms patients see article page still common korea spite dramatically decreasing tendency last two decades importantly incidence colorectal increasing period clinicians frequently experience synchronous metachronous colorectal several reports colorectal published asian countries yoon et al reported clinicopathologic data colorectal synchronous metachronous reviewed patients underwent surgery primary sporadic colorectal revealed incidences synchronous metachronous respectively combined standardized incidence ratio confidence interval result slightly lower data japan published however eom et al reported incidence synchronous metachronous based data patients,3
2,Stomach_Cancer,cross sectional study multiple measurements biological markers assessing risks population level cross sectional study determine correlations measurable biologic markers mortality performed various areas japan blood urine collected randomly selected year old men spouses four areas different rates mortality samples analyzed levels micronutrients vitamins c e beta carotene lycopene plasma levels nacl nitrate n nitrosamino acids n nitrosoproline n nitrosothioproline ntpro n nitrosomethylthioproline nmtpro hr urine significant strong correlation found amount salt excreted urine mortality men women although amounts nitrate,3
3,Stomach_Cancer,occupation cohort swedish men using environment registry sweden links census information employment incidence data conducted systematic population based assessment incidence industry occupation men sweden nearly cases diagnosed years follow incidence elevated among miners quarrymen farmers fishermen craftsmen production workers men held white collar jobs including professional technical administrative management clerical sales jobs reduction incidence examination specific jobs revealed generally elevated rates among men may exposed dusty work environments quarry workers stone cutters circular plane operators construction workers crane operators,3
4,Stomach_Cancer,exposure occupational dust authors studied cases identified population based registry los angeles county california cases males aged years first diagnosed determine whether exposure occupational dust increased risk developing occupational titles rated likelihood exposure various kinds dust men worked dusty jobs risk developing times unexposed men association exposure dust stronger higher levels exposure risk uniform throughout highest risk times unexposed men found antrum pylorus site exposure mineral dust carried greatest risk times risk unexposed men highest risks dust exposure observed,3
5,Stomach_Cancer,abstract association smoking alcohol salty food intake risk topographic location histological type seoul male cohort incidence declining south korea still remains highest among men country upper lower parts diffuse intestinal type thought different risk factors smoking alcohol salty food intake consistently associated risk possible differential associations topographic location histological type well established evaluated associations smoking alcohol salty food intake risk upper cardia fundus middle body lower parts antrum diffuse intestinal type prospective cohort study korea seoul male cohort established,3
6,Stomach_Cancer,analysis factors affecting life quality patients late aims objectives provide theoretical basis clinical care patients late investigated life quality analysed related factor patients late background due lack effective screening methods usually advanced stage patients diagnosed however treatment late tough problem today medicine chemotherapy radiotherapy brings patients physiological psychological distress heavy financial burden affecting patients therapeutic effects prognosis life quality design patients late included questionnaires life quality completed methods questionnaires including european organisation research treatment quality life questionnaire core social,3
7,Stomach_Cancer,decline mortality exploration future trends seven european countries mortality fallen steadily past decades aim paper assess implication possible continuation decline mortality year annual rates decline mortality determined netherlands united kingdom france four nordic countries basis regression analysis mortality rates extrapolated assuming rate decline past using three possible scenarios absolute numbers deaths projected taking account data ageing national populations mortality rates declined rate per year men women countries rate decline level recent years smaller countries lower overall mortality rates decline,3
8,Stomach_Cancer,expression role cyclophilin b elucidated expression ciclosporin protein b cyclophilin b tissue correlation cyclophilin b clinicopathological parameters determined effect cyclophilin b growth proliferation cells pathological sections paracancerous tissue collected detecting expression distribution cyclophilin b using immunohistochemistry analyzing relationship expression levels cyclophilin b clinical pathological parameters patients cyclophilin bsirna lentiviral lv cyclophilin b sirna corresponding control vector lv sirna con constructed mtt cell cycle assays used detect effect downregulation cyclophilin b expression vitro growth proliferation clone formation capacity bgc sgc,3
9,Stomach_Cancer,cyp e genetic polymorphism dietary tobacco alcohol habits h pylori infection status susceptibility mizoram india background incidence india highest state mizoram population based matched case control study evaluated relationship cyp e rsai polymorphism risk taking considering various important dietary habits along tobacco alcohol consumption h pylori infection status materials methods total histologically confirmed cases matched healthy population controls recruited cyp e rsai genotypes determined pcr rflp h pylori infection status elisa information various dietary tobacco alcohol habits recorded standard,3
10,Stomach_Cancer,high mortality rate caused high incidence delays diagnosis aomori prefecture japan background substantial differences mortality rates among prefectures japan aomori prefecture one severely impacted aims study determine incidence mortality rates aomori prefecture comparison japan whole cast light reasons underlying variation methods data cases extracted aomori registry database incidence rates specific stages time diagnosis cited monitoring incidence japan mortality rates aomori prefecture whole japan obtained vital statistics age standardised incidence mortality rates calculated using direct method results age standardised incidence,3
