序号,label,cleaned_text,label_encoded
1,Thyroid_Cancer,surgery children single institution osama ibrahim almosallama ali aseerib ahmed alhumaida ali alzahranic saif alsobhib saud alshanafeybfrom adepartment surgery college medicine qassim university buraidah al qassim saudi arabia bdepartment surgery king faisal specialist hospital research center riyadh saudi arabia cdepartment medicine king faisal specialist hospital research center riyadh saudi arabia correspondence dr osama ibrahim almosallam department surgery college medicine qassim university po box buraidah al qassim saudi arabia osama iaahotmailcom orcid orcid citation almosallam oi aseeri alhumaid alzahrani alsobhi,4
2,Thyroid_Cancer,adopted strategy used prior years based four exclusive queries return four disjoint citation subsets first query qpub plain based plaintext search pubmed titles using keywords second query qpub indexed relies pubmed indexing scheme using mesh terms results made exclusive previous set third one qwos restricted based plaintext search wos restricted two research areas medical informatics health care sciences services fourth query qwos filtered based plaintext search used wos filtered nonrelevant research areas eg archeology dance zoology etc two research,4
3,Thyroid_Cancer,coronary arterybypass grafting thrombosis brin brinogen mutationintroduction intraoperative thrombosis saphenous veins sv harvesting rarecase report present case yearold male patient multivesselcoronary artery disease history nonst elevation acute coronary syndromeand type diabetes mellitus admitted coronary artery bypass grafting whombilateralintraoperative sv thrombosis occurred graft harvesting routinethrombophilia screening showed abnormalities excluded compared healthy controls observed prolonged brin clot lysis time increasedthrombin generation ected endogenous thrombin potential scanning electronmicroscopy thrombosed material revealed compact thick brin layer theclot surface solid mass unusually compressed platelets,4
4,Thyroid_Cancer,solitary plasmacytoma sp skull uncommon clinical entity characterized alocalized proliferation neoplastic monoclonal plasma cells case report describes yearold male presented headache exophytic soft mass occiputthe diagnosis sp based pathological results imaging examinations patientunderwent occipital craniotomy skull reconstruction lower trapezius myocutaneous flapltmf transplantation general anaesthesia capsulized extended tothe subcutaneous subdural space dura mater skull defects neoplasm occipital bone involved large areas scalp subcutaneous tissue resultedin large postoperative scalp defect repaired using ltmf transplantation thetumour removed transplanted flap grew well followup,4
5,Thyroid_Cancer,study aimed investigate serum matrix metalloproteinase mmp mmp levels patients ptcmethods fortyone patients ptc undergoing ultrasoundguided radiofrequency ablationrfa controls included serum mmp mmp levels determined byenzymelinked immunosorbent assay surgery potential affecting factors wereevaluated logistic regression analysisresults serum mmp mmp levels significantly higher ptc patients comparedwith controls decreased significantly surgery according receiver operating characteristic curve analysis diagnostic values preoperative serum mmp mmp levels contrastagent perfusion ablation zone lesionsand enhancement within lesion edge volume reduction months followup age microcalcification irregular shape,4
6,Thyroid_Cancer,study performed explore effective management bleeding associated radiofrequency ablation rfa benign nodulesmethods thirtyfive patients benign nodules treated ultrasoundguided rfa july december third affiliated hospital sun yatsenuniversity retrospectively reviewed technique efficacy bleeding complications assessed followup periodresults mean technique efficacy month months procedure one case intranodular haematoma two cases voicechange month observed patients recovered corresponding treatmentconclusion although incidence haemorrhage low serious haematomas lifethreatening therefore comprehensive understanding potential complicationsan accurate clinical strategy adequate technical skills may prevent help properly managethese complicationskeywordsradiofrequency ablation,4
7,Thyroid_Cancer,study performed assess clinical outcomes elderly patients withosteoporotic femoral neck fractures fnfs aoota bc treated initial uncementedtotal hip arthroplasty uta cemented total hip arthroplasty ctamethods study involved consecutive elderly patients osteoporotic fnfs aoota bc treated initial uta cta medical centre primaryoutcomes harris hip score hhs rates revision loosening periprostheticfracture dislocationresults total patients included final analysis uta n cta n mean followup duration months range months mean hhs department microsurgery trauma hand surgerythe first affiliated hospital sun yatsen universityguangzhou china,4
8,Thyroid_Cancer,journal international medical research authors reuse guidelinessagepubcomjournalspermissions journalssagepubcomhomeimrcase reportnivolumab plus gemcitabinedexamethasone cisplatinchemotherapy induce durablecomplete remission inrelapsedrefractory primarymediastinal bcell lymphomaa case report andliterature reviewgang huang ju huang zhili zhang chongchong xue yuan liu abstractprimary mediastinal large bcell lymphoma pmbcl uncommon aggressive type ofbcell lymphoma patients relapsed refractory pmbcl rrpmbcl limited therapeuticoptions usually relatively poor outcome immune checkpoint blockade become apotential treatment disease report case female patient rrpmbclwho treated nivolumab plus gemcitabine dexamethasone cisplatin gdp chemotherapy complete remission achieved four cycles,4
9,Thyroid_Cancer,gastric gc persists worldwide public health crisis according american society yearsurvival rate gc remains worldwide withinthe united states survival statistics increasedoverall since year survival rate stageii disease near stage iiib andhigher development chemotherapies platinums taxanes survival beyond stage ii increased steadilyto although chemotherapies improved overall survivalthis dramatic solid malignancies suchas prostate breast furthermore even identificationof molecular targets brca mutations amplifications clinical success available therapies hasbeen minimal recent clinical trial olaparib polyadp ribose polymerase inhibitor showed little efficacy compared standard,4
10,Thyroid_Cancer,scars burns healingvolume reuse guidelinessagepubcomjournalspermissions authors journalssagepubcomhomesbhkeloids pathological scars grow time extend beyond initial site injury impaired wound healing scars frequently recur rarely regress aesthetically disfiguring cause pain itching discomfort well psychological stress often affecting quality life many treatment modalities including surgical nonsurgical explored reported beneficial however none absolutely satisfactory optimal treatment keloid subtypes date poses major challenge clinicians often combinational therapeutic approach appears offer best results higher patient satisfaction compared monotherapy aetiopathogenesis keloids fully elucidated however recent advances,4
