序号,label,cleaned_text
1,Liver_Cancer,ace enhances sensitivity pd l blockade inhibiting macrophage induced immunosuppression angiogenesis anti pd l based combination immunotherapy become first line treatment unresectable hepatocellular carcinoma hcc however objective response rate lower highlighting need identify mechanisms tolerance immune checkpoint inhibitors accurate biomarkers response study used next generation sequencing analyze hcc samples patients receiving anti pd l therapy activation renin angiotensin system elevated nonresponders compared responders angiotensin converting enzyme ace expression significantly downregulated nonresponders ace deficiency promoted hcc development anti pd l resistance whereas ace overexpression inhibited hcc progression immune competent mice mass cytometry time flight revealed ace deficient
2,Liver_Cancer,intermittent hypoxia alleviates increased vegf pro angiogenic potential cells vascular endothelial growth factor vegf important angiogenic factor vegf rebound induced hypoxia following transarterial embolization chemoembolization primary associated treatment failure poor survival rates patients present study investigated ability intermittent hypoxia alleviate acute hypoxia induced increase vegf decrease pro angiogenic potential cells cells exposed normoxia acute intermittent hypoxia expression vegf determined using reverse transcription quantitative polymerase chain reaction analysis western blotting pro angiogenic effects acute intermittent hypoxia exposed cells endothelial cells assessed vitro vivo expression vegf cells exposed intermittent hypoxia significantly lower cells exposed acute hypoxia compared conditioned
3,Liver_Cancer,adjuvant transarterial chemoembolization influence recurrence free overall survival patients combined hepatocellular carcinoma cholangiocarcinoma curative resection propensity score matching analysis prognosis patients combined hepatocellular carcinoma intrahepatic cholangiocarcinoma chc usually poor effective adjuvant therapy missing making important investigate whether patients may benefit adjuvant transarterial chemoembolization tace aimed evaluate efficiency adjuvant tace long term recurrence survival curative resection propensity score matching psm analysis retrospective study patients underwent resection chc january december patients received adjuvant tace univariate multivariate regression analyses used identify independent predictive factors survival cox regression analyses log rank tests used compare overall survival os disease free survival
4,Liver_Cancer,age specific features clinical significance nrf mapk expression hcc patients abstracttext label background nlmcategory background nuclear factor erythroid derived like nrf functions decline age however cells hijack pathways ensure survival aggressiveness yet role nrf hepatocellular carcinoma hcc rarely investigated age specific manner study investigates expression nrf activator mapk different age groups hcc patients addition age specific features nrf mapk interaction clinical significance abstracttext abstracttext label methods nlmcategory methods tumor near tumor tissue samples hcc patients used complete protein expression analysis nrf mapk patients survival clinical data collected clinical analysis global databases tcga icgc used collect mapk
5,Liver_Cancer,studies organellae bearing animals ii catalase activity animals treated cyto plasmic organellae hepatoma cell ah cell hepatoma bearing animals author studied distribution polysaccharides amino acid composition cytoplasmic organellae problems come call great interest field studies bearing animals also biochemical electron microscopic observations carried study influences cytoplasmic organellae cells ah livers bearing animals normal catalase activity results obtained follows cytoplasmic organellae various cells affect markedly hexose metabolism amino acid pattern cytoplasmic organellae various cells studied paperchromatography interesting note pattern bearing animals shows lack histidine er tissue bearing animals increase phenylalanine observed decrease catalase activity caused primary factor
6,Liver_Cancer,high intratumoral metastasis associated colon expression predicts poor outcomes cryoablation therapy advanced hepatocellular carcinoma cryoablation one local therapies hepatocellular carcinoma hcc safety effect studied patients child class b barcelona clinic bclc stage c hcc metastasis associated colon macc overexpression associated poor prognosis hcc predictive value post cryoablation outcomes remains unknown patients bclc stage c hcc study assessed safety outcomes cryoablation measured time progression ttp overall survival os predictive value macc mrna protein overexpression tumorous tissue post cryoablation outcomes advanced hcc patients child pugh class b quantitative polymerase chain reaction immunohistochemical staining potenial correlation macc c met
7,Liver_Cancer,tissue infiltrating lymphocytes signature predicts survival patients early intermediate stage hepatocellular carcinoma intratumoral immune infiltrates manifested robust prognostic signature patients hepatocellular carcinoma hcc hypothesized novel tissue related immune signature tris could improve prediction postoperative survival patients diagnosed early intermediate hcc twenty eight immune features immunohistochemically examined hcc specimens lasso cox regression model used construct five feature based tris univariate multivariate cox analyses performed based independent predictors immune clinical prognostic index icpi established performance assessment measured c index compared seven traditional staging systems independent validation cohort n included validate model using lasso method tris constructed basis five
8,Liver_Cancer,pexpression analyses key members rdgn tissues benign hepatic diseases human abstract aim analyze differences expression dach different groups diseases cirrhosis fatty chronic hepatitis study relationship clinical pathological features stage pathologic grade type age gender expression dach six main members retinal determination gene network rdgn explore correlation among dach six cyclind tissues methods expression dach one tissue microarray including cases different hepatic diseases expression dach six cyclind another tissue microarray including cases normal detected immunohistochemical methods one way anova chi square test orderly logistic regression used data analysis results cirrhosis fatty chronic hepatitis groups dach expression lower
9,Liver_Cancer,incidence saudi arabia decreasing trend leading cause mortality morbidity worldwide existing data burden saudi arabia limited therefore study aimed analyze incidence mortality trends saudi arabia two decades compare regional worldwide data incidence data saudi arabia collected national registry reports study period additionally global regional data burden obtained world health organization international agency research iarc global observatory website saudi arabia revealed relatively lower burden compared global rates males showed decreasing trend age standardized incidence rates study period females displayed steady rates incidence males nearly doubled compared females male female ratio additionally significant regional variations incidence observed across
10,Liver_Cancer,associating partition portal vein ligation staged hepatectomy colorectal metastasis single center experience abstracttext label background nlmcategory unassigned associated partition portal vein ligation staged hepatectomy alpps increasingly used treatment primarily unresectable colorectal metastases crlm insufficient future remnant flr aim study share experience alpps advanced crlm review role alpps management patients crlm abstracttext abstracttext label methods nlmcategory unassigned consecutive patients n crlm underwent alpps center december october retrospectively studied abstracttext abstracttext label results nlmcategory unassigned median age patients years range years five patients metachronous crlm patients synchronous crlm five patients unilateral crlm patients bilateral crlm patients previously underwent
