序号,label,cleaned_text
1,Stomach_Cancer,synchronous prevalence colorectal neoplasms patients see article page still common malignancy korea spite dramatically decreasing tendency last two decades importantly incidence colorectal increasing period clinicians frequently experience synchronous metachronous colorectal several reports colorectal published asian countries yoon et al reported clinicopathologic data colorectal synchronous metachronous reviewed patients underwent surgery primary sporadic colorectal revealed incidences synchronous metachronous gastric respectively combined standardized incidence ratio confidence interval result slightly lower data japan published however eom et al reported incidence synchronous metachronous gastric based data patients underwent gastric surgery common primary colorectal followed lung liver actually result little different results
2,Stomach_Cancer,cross sectional study multiple measurements biological markers assessing risks population level cross sectional study determine correlations measurable biologic markers mortality performed various areas japan blood urine collected randomly selected year old men spouses four areas different rates mortality samples analyzed levels micronutrients vitamins c e beta carotene lycopene plasma levels nacl nitrate n nitrosamino acids n nitrosoproline n nitrosothioproline ntpro n nitrosomethylthioproline nmtpro hr urine significant strong correlation found amount salt excreted urine mortality men women although amounts nitrate three n nitrosamino acids hr urine correlated rates low excretion levels ntpro nmtpro lowest risk area noteworthy
3,Stomach_Cancer,occupation cohort swedish men using environment registry sweden links census information employment incidence data conducted systematic population based assessment incidence industry occupation men sweden nearly cases diagnosed years follow incidence elevated among miners quarrymen farmers fishermen craftsmen production workers men held white collar jobs including professional technical administrative management clerical sales jobs reduction incidence examination specific jobs revealed generally elevated rates among men may exposed dusty work environments quarry workers stone cutters circular plane operators construction workers crane operators heavy laborers shop construction metal workers occupational associations mostly observed noncardia origin significant associations found cardia information
4,Stomach_Cancer,adenocarcinoma exposure occupational dust authors studied cases adenocarcinoma identified population based registry los angeles county california cases males aged years first diagnosed determine whether exposure occupational dust increased risk developing occupational titles rated likelihood exposure various kinds dust men worked dusty jobs risk developing times unexposed men association exposure dust stronger higher levels exposure risk uniform throughout highest risk times unexposed men found antrum pylorus site exposure mineral dust carried greatest risk times risk unexposed men highest risks dust exposure observed blacks risk related race socioeconomic status immigrant status factors entirely explain association dust exposure observed
5,Stomach_Cancer,abstract association smoking alcohol salty food intake risk topographic location histological type seoul male cohort incidence declining south korea still remains highest among men country upper lower parts diffuse intestinal type thought different risk factors smoking alcohol salty food intake consistently associated risk possible differential associations topographic location histological type well established evaluated associations smoking alcohol salty food intake risk upper cardia fundus middle body lower parts antrum diffuse intestinal type prospective cohort study korea seoul male cohort established members recruited male beneficiaries korean health insurance company aged living seoul lifestyle questionnaire survey conducted mailing dietary
6,Stomach_Cancer,analysis factors affecting life quality patients late aims objectives provide theoretical basis clinical care patients late investigated life quality analysed related factor patients late background due lack effective screening methods usually advanced stage patients diagnosed however treatment late tough problem today medicine chemotherapy radiotherapy brings patients physiological psychological distress heavy financial burden affecting patients therapeutic effects prognosis life quality design patients late included questionnaires life quality completed methods questionnaires including european organisation research treatment quality life questionnaire core social support rating scale medical coping modes questionnaire self rating anxiety scale completed patients late received treatment hospital
7,Stomach_Cancer,decline mortality exploration future trends seven european countries mortality fallen steadily past decades aim paper assess implication possible continuation decline mortality year annual rates decline mortality determined netherlands united kingdom france four nordic countries basis regression analysis mortality rates extrapolated assuming rate decline past using three possible scenarios absolute numbers deaths projected taking account data ageing national populations mortality rates declined rate per year men women countries rate decline level recent years smaller countries lower overall mortality rates decline continue future mortality rates would decline populations absolute number deaths would diminish thus view strong stable consistent
8,Stomach_Cancer,expression role cyclophilin b elucidated expression ciclosporin protein b cyclophilin b tissue correlation cyclophilin b clinicopathological parameters determined effect cyclophilin b growth proliferation cells pathological sections paracancerous tissue collected detecting expression distribution cyclophilin b using immunohistochemistry analyzing relationship expression levels cyclophilin b clinical pathological parameters patients cyclophilin bsirna lentiviral lv cyclophilin b sirna corresponding control vector lv sirna con constructed mtt cell cycle assays used detect effect downregulation cyclophilin b expression vitro growth proliferation clone formation capacity bgc sgc cells cyclophilin b positive rate tissue paracancerous tissue expression cyclophilin b tissue significantly higher paracancerous tissue p
9,Stomach_Cancer,cyp e genetic polymorphism dietary tobacco alcohol habits h pylori infection status susceptibility mizoram india background incidence india highest state mizoram population based matched case control study evaluated relationship cyp e rsai polymorphism risk taking considering various important dietary habits along tobacco alcohol consumption h pylori infection status materials methods total histologically confirmed cases matched healthy population controls recruited cyp e rsai genotypes determined pcr rflp h pylori infection status elisa information various dietary tobacco alcohol habits recorded standard questionnaire results study revealed significant association cyp e rsai polymorphism overall risk mizoram however observed non significant
10,Stomach_Cancer,high mortality rate caused high incidence delays diagnosis aomori prefecture japan background substantial differences mortality rates among prefectures japan aomori prefecture one severely impacted aims study determine incidence mortality rates aomori prefecture comparison japan whole cast light reasons underlying variation methods data cases extracted aomori registry database incidence rates specific stages time diagnosis cited monitoring incidence japan mortality rates aomori prefecture whole japan obtained vital statistics age standardised incidence mortality rates calculated using direct method results age standardised incidence rate aomori prefecture higher whole japan males lower females however age standardised mortality rates higher aomori prefecture
11,Stomach_Cancer,research symptoms signs nude mice tumour objective study syndrome balb c nu mice smmc liver sgc methods establishing respectively balb c nu mice smmc liver sgc establish normal control group normal sodium collect information four diagnostic methods four diagnostic methods workstation constructed us practice syndrome differentiation quantitive results thday tumour growth decease speed smmc liver nude mice fast sgc nude mice th day survival rate smmc liver nude mice however th day survival rate nude mice asthenia syndrome develop spontaneously smmc liver nude mice sgc nude mice asthenia syndrome smmc liver nude mice appearance early serious
12,Stomach_Cancer,machine learning data mining methods early detection risk abstract background point mortality rate fifth leading risk factors varied country country associated urbanization economic development diagnosis difficult task people diagnosed still initial stage main objective research design tool early detection risk level methodology firstly feature selection techniques applied filter collected data best rules technique used check correlations risk factors besides visual relationship among factors selected also exhibited score assigned factor according impact risk patients finally risk level prediction tool designed results experiment subjects records affected non affected risk factors received significant top risk factors abdominal pain nausea
13,Stomach_Cancer,epidemiological study influence drinking green tea gastric chronic gastritis incidence purpose despite declining trend incidence still second important china ranks first yangzhong city examined role green tea consumption chronic gastritis risks case control study interaction green tea drinking potential risk factors chronic gastrotitis also explored methods population based case control study conducted yangzhong china patients chronic gastitis patients healthy controls epidemiological data collected standard questionnaire blood samples obtained measurement helicobacter pylori infection odds ratios confidence intervals ci estimated using logistic regression models results inverse association observed green tea drinking chronic gastritis risks adjusting potential confounding factors
14,Stomach_Cancer,glutathione transferase genotypes population based case control study warsaw poland glutathione transferases important detoxification wide range human carcinogens previous studies shown inconsistent associations gstt gstm null genotypes risk investigated relationship related genotypes risk population based case control study warsaw poland incidence mortality rates among highest europe dna blood samples available patients control subjects observed fold increased risk confidence interval patients gstt null genotype evidence increased risk associated gstm gstm gstp genotypes furthermore risk associated gstt null genotype varied age diagnosis odds ratios diagnosed ages less years older respectively p trend due shift gstt genotype distribution across
15,Stomach_Cancer,relationship year overall survival rate socioeconomic status seer stage four target national screening program korea results gwangju jeonnam registry purposethe aim study investigate relationship year survival rate socioeconomic status seer surveillance epidemiology end results stage colorectal breast cervical patients methods total cases four target diagnosed extracted database gwangju jeonnam regional registry subjects study including n colorectal n breast n cervical n cox proportional hazards model used obtain hazards ratio hr according seer stage socioeconomic status results significantly higher hr medical aid recipients hr group hr compared group highest income level colorectal significantly higher hr medical aid
16,Stomach_Cancer,preservation remnant safe distal pancreatectomy patients undergone distal gastrectomy whether remnant safely preserved performing distal pancreatectomy dp patients prior distal gastrectomy dg remains unclear remnant pancreatic body tail share arterial blood supply via splenic artery spa total patients prior dg underwent dp enrolled study clinicopathologic data retrospectively analyzed focus management remnant complications related ischemia remnant additionally intraoperative indocyanine green icg fluorescence angiography performed visualize blood flow circulation remnant ten patients underwent standard dp dp conjunction splenectomy division spa preservation remnant entire preserved seven patients three underwent concomitant partial resection remnant patients entire remnant preserved developed postoperative
17,Stomach_Cancer,incidence rates among americans asian americans native asians second common eastern asia accounting approximately new cases worldwide objective compare incidence rates asian americans los angeles native asians assess etiology examine differences asian americans korean japanese chinese filipino americans living los angeles california usa native asians korea japan china philippines selected study using incidence five continents database incidence rates examined data national registry korea used native koreans native countries incidence rates japan china philippines us declined time incidence korea remained constant incidences among asian immigrants lower among native asians incidence rates males approximately times higher among females
18,Stomach_Cancer,analysis relationship smoking status onset age onset direct medical expenditure expenses gastric patients objective investigate relationship smoking status onset age patients estimate patients direct medical cost burden due smoking anhui province methods information primary patients direct treatment expenditures registered areas anhui collected association smoking status age onset patients analyzed univariate regression multivariate logistic regression models median smoking attributed risk method used describe direct treatment expenditure patients anhui due smoking results total patients analyzed study univariate regression analysis showed rural household registration p smoking p alcohol consumption p related age onset adjusting gender alcohol consumption body mass
19,Stomach_Cancer,incidence mortality china objective study aimed estimate updated incidence mortality rate based registration data collected national central registry china nccrc methods registries data qualified based criteria data quality control nccrc cases retrieved national database estimated numbers cases deaths china using age specific rates corresponding national population stratified area sex age group chinese standard population segi world population applied age standardized incidence mortality rates results new cases associated deaths estimated occurred china crude incidence rate age standardized incidence rates chinese standard population asirc world standard population asirw respectively crude mortality rate age standardized mortality rates chinese asmrc
20,Stomach_Cancer,among new mexico american indians hispanic whites non hispanic whites incidence rates vary ethnic group new mexico american indians hispanic whites higher risk state non hispanic white population characterize descriptive epidemiology disease new mexico investigated temporal trends mortality incidence rates mortality rates declined year period among new mexico hispanic non hispanic whites birth cohort analysis suggests much decline achieved prior mortality rates drop among american indians period incidence rates remained constant hispanic whites non hispanic whites american indian males year period doubled among american indian females although environmental factors implicated etiology little currently known distribution risk
21,Stomach_Cancer,influence constructing pcdna p ing b nuclear expressing microsome growth inhibiting apoptosis cell line objective investigate effective constructing pcdna p ing b nuclear expressing microsome growth inhibiting apoptosis cell line search neotype antineoplastic measure methods pcdna p ing b nuclear expressing microsome constructed p ing b implanted human cell line sgc role p ing b generate cell studied results pcdna p ing b nuclear expressing microsome constructed successfully human cell line sgc implantation p ing b showed significant decrease cell growth coupling time delayed dna synthetic phase shortened g g phase prolonged apoptosis increased conclusion recombination
22,Stomach_Cancer,nutrition epidemiologic evidence relation nutrition reviewed shows distinct international variation dramatic worldwide decline descriptive features suggest dietary factors important determining risk authors assessed relevant data regarding specific dietary hypotheses etiology negative association fresh vegetables fruits highly consistent numerous case control studies different populations epidemiologic experimental data suggest vitamins c carotenoids lower risk evidence sparse inconsistent protective effects vitamin e selenium epidemiologic studies lent provide supportive evidence etiologic role nitrate intake high salt intake associated increased risk many case control studies limited cohort studies taken together animal data considered high salt intake risk factor epidemiologic experimental data
23,Stomach_Cancer,index based dietary patterns chinese population objectives dietary factors importance development study aims examine index based dietary patterns associated chinese population methods using data population based case control study conducted jiangsu province china included total participants cases controls dietary data collected food frequency questionnaire evaluated modified chinese healthy eating index mchei us healthy eating index hei multiple logistic regression analyses applied examine association mchei hei adjusting potential confounders possible interactions mchei hei established risk factors explored results among nonproxy interviews adjusting potential confounding factors higher score sodium reflecting lower intake per day inversely associated odds ratio
24,Stomach_Cancer,radiation dose subsequent risk long term survivors cervical purpose assess dose response relationship radiation therapy cervical methods materials conducted nested matched case control study cases controls among year survivors cervical diagnosed international population based registries estimated individual radiation doses site cases corresponding sites matched controls overall mean tumor dose gy range parallel opposed pelvic fields gy range results women received radiation therapy mostly external beam therapy combination brachytherapy risk nonsignificantly increased odds ratio women receiving gy site significantly increased doses gy odds ratio confidence interval p trend compared nonirradiated women highly significant radiation dose response relationship
25,Stomach_Cancer,abstract integrated analysis copy number alteration global gene expression reveals potential oncogenes underlying proceedings aacr annual meeting april san diego ca although several studies carried elucidate causative copy number alteration cna underlying carcinogenesis deeper understanding cna accumulations genome association age histo pathological subtypes remains still mysterious report integrated analysis genome wide copy number alteration global mrna expression tissues old young patients using acgh microarray identified genomes showed recurrent amplifications q erbb amplicon q q met amplicon homozygous deletions p p regions harboring tumor suppressor genes frequent gained regions q p p q q q q q
26,Stomach_Cancer,nutritional status quality life gastric patients changle county china aim analyze relation nutrition quality life patients evaluate intake daily nutrition patients study feasibility nutrition intervention improving quality life patients methods total surgical patients reported changle registry investigated respect diet quality life daily nutrition intakes patients calculated according food composition database data compared reference values proposed chinese nutrition society partial correlation used analyze relationship nutrition quality life patients stepwise multiple regression analyses conducted analyze factors influencing nutrition intake patients results except vitamin c statistical correlations nutrition quality life patients differences daily nutrition intake among three groups good
27,Stomach_Cancer,primary prevention detection gastric world common malignant neoplasia shown decrease death incidence rates several countries still totally elucidated decline incidence death rates attributed environmental factors unlikely decline stemmed primarily changes either treatment system diagnostic techniques brazil major challenge since country faces high incidence death rates addition brazilian health system lacks means assume fund develop diagnostic program according current knowledge develops damage gastric mucosa diet rich salt nitrates nitrites possibly carbohydrates initiation development offset sufficient intake fruit fresh vegetables household refrigeration widespread since early th century helped people consume fresher well preserved food doubt generating major downward
