Label,Text
0,"Surgery of colon cancer in a district hospital Colorectal cancer is a common illness and continues even today to be the second cause of death in the U.S.A., after lung cancer. Although the incidence of gastric and pancreatic cancer has declined dramatically in recent years, the incidence of colorectal cancer has increased. The aim of our study is to present our experience and results of surgical techniques applied in our clinic for the treatment of colorectal cancer and its complications. We present our experience in treating colorectal cancer for the five-year period of 2006–2010 during which 49 patients were treated with colorectal cancer in our clinic, of whom 28 were men, with a mean age of 62 years and 21 were women, with a mean age of 66 years. In 15 cases, the cancerous lesion involved the rectum and in 34 the remaining colon. In 2 patients, concomitant cancer was found at a separate site within the bowel. In the first case, the tumour was found both in the caecum and high up in the rectum, while in the second case, cancer was found both within the transverse and the sigmoid colon. Six of our patients suffered from co-existing biliary lithiasis and thus underwent simultaneous cholecystectomy and in one of these patients a simultaneous bile duct exploration for common bile duct lithiasis was performed. In 15 of our patients, the malignant lesion was situated in the rectum and 8 of these patients underwent abdominoperineal resection while 7 had a low anterior resection. In 11 patients, the lesion was found in the sigmoid, 8 of whom had a Hartmann procedure and 3 a sigmoidectomy. In 5 patients who presented with cancer in the descending colon and in one with cancer in the splenic flexure, a left hemicolectomy was performed. In 3 patients, the lesion involved the right colic flexure, in 3 the ascending colon, in 6 the caecum and in 2 the vermiform appendix at its base; these 14 patients underwent a right hemicolectomy. The remaining 3 patients had cancer located in the transverse colon and underwent a resection of the transverse colon. Twenty-eight of the patients with colonic cancer were operated on an emergency basis. There were 2 postoperative deaths due to septic shock and multiple organ failure. In total we noted 7 complications, all of which concerned patients who had undergone emergency surgery. The length of hospital stay was between 8 and 14 days. Four of the patients with stage IV disease died two years after surgery; the remainder are still alive. We conclude that colorectal cancer continues to occur after the sixth decade with male predominance; its main localization is within the rectum and the sigmoid colon. The high complication rate of obstructive ileus in our region indicates inadequate access of the public to diagnostic facilities in our area. Despite this, the mortality level remains low."
0,"Macrophage Migration Inhibitory Factor (MIF) Upregulates CXCR7 and Contributes to Chemotherapy Resistance in Colorectal Cancer. Colorectal cancer is one of the most common malignant tumors worldwide, with high incidence and mortality rates making it a focus of research. Chemotherapy is a primary treatment modality for colon cancer, but chemotherapy resistance severely impacts treatment efficacy. MIF has been found to promote tumor progression and resistance in various cancers. This study aims to investigate the role of MIF in chemotherapy resistance in colon cancer and its potential mechanisms, particularly through the upregulation of CXCR7 expression, affecting the metabolism and drug sensitivity of colon cancer cells. The expression levels of MIF in colon cancer tissues and its association with patient prognosis were evaluated by analyzing TCGA and HPA data. Subsequently, the expression levels of MIF in colon cancer cell lines and resistant cell lines were detected by qRT-PCR and immunohistochemistry, and the effect of MIF on oxaliplatin sensitivity was assessed. The impact of MIF on the metabolic activity of colon cancer cells was measured using a cellular energy metabolism analyzer. Further experiments explored the mechanism by which MIF affects the metabolic activity of colon cancer cells through the upregulation of CXCR7 expression, and the role of CTCF in regulating CXCR7 transcription was validated by silencing CTCF. Finally, the effect of MIF on drug sensitivity of colon cancer cells was verified in a mouse xenograft tumor model. In this study, we found that the expression of MIF in colon cancer tissues was significantly higher than in normal tissues, and high MIF expression was associated with poor prognosis in patients. The expression levels of MIF in resistant colon cancer cell lines were significantly higher than in parental cell lines, and MIF overexpression significantly increased the resistance of colon cancer cells to oxaliplatin. Conversely, silencing MIF significantly reduced the IC50 value of resistant cells and increased apoptosis. MIF overexpression significantly increased the ECAR and OCR levels of colon cancer cells, while MIF knockdown significantly reduced these metabolic indicators. Further studies indicated that MIF affects the metabolic activity of colon cancer cells by upregulating CXCR7 expression. CTCF binding peaks at the CXCR7 promoter region and luciferase activity assays indicated that CTCF regulates CXCR7 transcription, and silencing CTCF significantly enhanced the sensitivity of colon cancer cells to oxaliplatin. In vivo experiments in mice showed that MIF silencing combined with oxaliplatin treatment significantly inhibited tumor growth and increased the necrotic area of tumor tissues. In conclusion, this study reveals the crucial role of MIF in chemotherapy resistance in colon cancer through the upregulation of CXCR7 expression, with CTCF playing an important regulatory role in this process. Our findings provide new theoretical insights and potential therapeutic targets for overcoming chemotherapy resistance in colon cancer. Future research should further explore the roles of MIF and CXCR7 in other types of cancers and the potential of MIF and CXCR7 as therapeutic targets."
0,"Left-Sided Colon Cancer and Right-Sided Colon Cancer: Are They the Same Cancer or Two Different Entities? Background Colon cancer is one of the most common cancers in the world and one of the main causes of cancer-related deaths. In Morocco, it occupies the first place among digestive cancers. Right-sided and left-sided colon cancers have different embryological, epidemiological, pathological, genetic, and clinical characteristics. This distinction leads to differences in the evolution and prognosis of the disease. This study aimed to identify epidemiological factors and clinical and pathological characteristics that can influence perioperative and prognostic outcomes in patients with right-sided colon cancer compared to those with left-sided colon cancer. Methodology We conducted a retrospective cohort study over a period of nine years from January 2012 until December 2020. We included 277 patients divided into two groups, namely, right colon cancer (group 1) (n = 99) and left colon cancer (group 2) (n = 178). Results The average age of our series was 57.4 years, with extremes ranging from 19 to 89 years old (SD = ±13.6451 years). The average age in the right colon group was 55.97 (SD = ±13.341 years). The average age in the left colon group was 58.18 (SD = ±13.69 years). The male gender had a predominance, with a sex ratio of 1.3 for both groups. Among the patients in group 2, 65% showed lymph node involvement on the CT scan, whereas only 34% of patients in group 1 displayed the same condition. The recurrence rate in the right-sided colon cancer group was 22.2% compared to 24.9% in the left-sided group. The five-year overall survival was estimated for the right-sided and left-sided colon cancer groups at 87% and 96.5%, respectively. In patients with stage III and IV cancer, overall survival was better for those who underwent surgery for left-sided colon cancer compared to those who underwent surgery for right-sided colon cancer (p = 0.029). In the case of vascular emboli or involvement of the perineural sheath, there was no significant difference in overall survival (p = 0.446 and p = 0.655, respectively). The three-month survival without recurrence was almost identical in both groups (31% for right-sided colon cancers and 30.9% for left-sided colon cancers). Age over 61 years was a predictive factor of poor prognosis in recurrence-free survival (hazard ratio = 3.245; p = 0.023). Conclusions We identified factors that can influence perioperative outcomes and prognosis in patients with right-sided colon cancer compared to those with left-sided colon cancer. Our findings suggest that age and lymph node involvement along with other factors play a role in the overall survival and recurrence outcomes of these patients. Further research is necessary to explore these differences and develop personalized treatment plans for patients with colon cancer."
0,"Effect of Chemotherapy Treatment on Overall Survival of Colon Cancer Patients Using Propensity Score Matching. Background  Colon cancer is a common cause of cancer and cancer-associated deaths in the United States. Many factors can influence the overall survival (OS) of patients with colon cancer, such as patient demographics, clinical presentation, and treatment characteristics. The goal of this study was to assess the influence of chemotherapy on OS in patients with colon cancer with similar baseline characteristics.  Materials and methods  A total of 70,876 patients with stage II and III colon cancer, confirmed by pathology, over the age of 18, and who were diagnosed with colon cancer between 2004 and 2019, were selected from the de-identified National Cancer Database (NCDB). All of the patients included in the study underwent surgical treatment. Patients who received hormonal therapy, radiation therapy, immunotherapy, palliative care, or any treatment modality besides chemotherapy were excluded from the analysis. Calculation of the propensity score was performed by computing the probability of patients being in the chemotherapy group using logistic regression. The propensity score matching (PSM) was done via the PSMATCH procedure with the SAS software (SAS Institute, Cary, NC, USA) on patients who received chemotherapy compared to patients who received a treatment other than chemotherapy. The greedy nearest neighbor matching method was then utilized to match one chemotherapy patient to one non-chemotherapy patient with a caliper of 0.2. An exact match was done for sex, race, tumor stage, and year diagnosed at the time of patient diagnosis. Multivariate Cox regression analysis was then used to estimate the effect of chemotherapy on OS before and after PSM.  Results  A total of 70,876 patients were included in the study before PSM, with 44,992 receiving chemotherapy and 25,884 not receiving chemotherapy. Before PSM, the OS was 17.55 years for patients who received chemotherapy, compared to 14.12 years for those who did not. After matching 23,356 patients, the OS was 17.77 years for patients who received chemotherapy and 12.18 years for those who did not. Following PSM, patients who received chemotherapy were 46% less likely to die compared to those who did not receive chemotherapy. Conclusion  Our findings, per the PSM method, demonstrate that receiving chemotherapy can be a significant predictor of OS among patients with stage II and III colon cancer. Other variables such as tumor stage, age, and insurance type were also found to be significant predictors of OS in colon cancer patients. Prospective clinical studies are necessary and should be performed to determine the true effects of chemotherapy on OS."
0,"Colorectal Cancer Characteristics Among Racial Minorities in the South Bronx: A 10-Year Retrospective Study at a Single Health Center. Background Colon cancer is one of the leading causes of cancer-related deaths worldwide. The incidence of colorectal cancer has increased with time. Over the last several decades, people of color and racial minorities living in the South Bronx, the poorest congressional district in the United States, have suffered worse health outcomes than their White counterparts on virtually every health indicator. Aim To review the characteristics of patients belonging to racial and ethnic minorities diagnosed with colon cancer at the age of less than 50 and compare it to those who develop colorectal cancer more than or equal to the age of 50 years from a single health center in the South Bronx region. Methods We conducted a single-center, retrospective, observational study of patients who were followed from July 2011 to June 2021 at Bronx Care Health System. Patients aged 18 years and older who were diagnosed with colorectal cancer in our health system were included in the study. Patients younger than 18 years of age, who were pregnant, or who were diagnosed with colorectal cancer at other institutions were excluded. Results A total of 159 patients were included in the study. Gastrointestinal bleeding was the most common clinical presentation in 41 patients (25.8%), while iron deficiency anemia was the most common laboratory finding in 25 patients (15.7%). Sigmoid colon in 42 (26.4%) and ascending colon in 41 (25.8%) patients were the two most common locations of diagnosed colorectal cancers, and about 77 (48.4%) of the patients had stage 3 or 4 colorectal cancer at the time of diagnosis. The result of our study highlights the importance of getting a colonoscopy for colon cancer screening done at the age of 45 years. Sigmoid and ascending colon were found to be the two most common locations of colorectal cancer in our patient population. Most of the patients who present with colon cancer at an early age present at an advanced stage. Close to 63 of the total 159 (39.6%) patients who were diagnosed with colorectal cancer had missed or declined their initial screening colonoscopy when offered. Conclusion Colon cancer is a common but mostly preventable disease, especially in people who are within the recommended age for screening colonoscopies. While gastrointestinal bleeding and anemia are generally the most common symptoms, we have observed that younger patients with colorectal cancer often show signs of weight loss and are typically diagnosed at more advanced stages when they seek medical care."
0,"Bibliometric analysis of immune dysregulation and immunotherapy in mismatch repair-deficient colon cancer. <AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">Mismatch repair deficiency (dMMR) is observed in 12-15% of sporadic colon carcinomas. dMMR tumors have unique genetic characteristics, with mutation rates 10 to 100 times higher than those of tumors with intact mismatch repair functions. Approximately 15% of colon cancer cases exhibit mismatch repair deficiency. Moreover, the status of DNA mismatch repair deficiency holds prognostic and predictive significance in both non-metastatic and metastatic colon cancer. Therefore, we aim to comprehensively conduct a bibliometric analysis of research on mismatch repair-deficient colon cancer studies to identify research trends and potential future directions.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">A total of 1428 relevant articles from January 1, 1995 to July 1, 2024 were obtained from the Web of Science Core Collection. Knowledge graphs were analyzed and visualized using VOSviewer, CiteSpace, and Scimago Graphica software as bibliometric tools to extract or calculate evaluation metrics. Publications were categorized by country, institution, author, journal, highly cited article, and keyword. These variables were compared in terms of publication and academic impact, including citation count, citation impact, H-index, and journal impact factor.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">A total of 1428 publications related to mismatch repair-deficient colon cancer were retrieved from 351 countries and 6953 research institutions. The United States and China led the way in terms of the number of publications and impact; the most prolific institution was Sun Yat-sen University, followed by the Mayo Clinic; Cancers was the journal with the most publications, while Cancer Research was the most cited journal; André, Thierry was the most prolific author, and Thibodeau, Stephen N. had the highest H-index of all authors; the five most cutting-edge keywords identified were colorectal cancer, microsatellite instability, immunotherapy, Lynch syndrome, and mismatch repair. Among these, topics such as Nivolumab, PD-1 blockade, open label, mismatch repair deficient, immune checkpoint inhibitors, and metastatic colorectal cancer remain the hot topics in this field.</AbstractText>;           <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">Research on mismatch repair-deficient colon cancer is poised to enter a golden age in the coming years. This study not only provides insights into the directions and frontiers of mismatch repair-deficient colon cancer research but also highlights that the treatment of mismatch repair-deficient colon cancer benefits from a multidisciplinary approach. The comparison of different immune-assisted therapies will contribute to a more comprehensive understanding of the therapeutic landscape. Ultimately, large-scale and well-designed clinical trials are required to establish a recognized standard that can benefit more patients with mismatch repair-deficient colon cancer.</AbstractText>;           <CopyrightInformation>© 2025. The Author(s).</CopyrightInformation>"
0,"Age and sex differences in the relationship of body weight changes with colon cancer risks: A nationwide cohort study. Colon cancer is a significant health concern, and obesity is a well-established risk factor. However, previous studies have mainly focused on assessing body weight as a risk factor for colon cancer at a specific time point. This nationwide cohort study investigated the association between body weight changes, which can fluctuate throughout an individual's lifespan, and the incidence of colon cancer using the South Korean population database provided by the National Health Insurance Service (NHIS). Participants who underwent biennial health screenings between 2004 and 2006, and had follow-up health check-ups between 2014 and 2016, were included in this study. Body weight changes were categorized as follows: < 5%, decrease 5-20%, decrease > 20%, increase 5-20%, or > 20%. The primary outcome was the incidence of newly diagnosed colon cancer. Statistical analysis was used to examine the relationship between body weight changes and the incidence of colon cancer stratified according to age and sex. The Kaplan-Meier method estimated the cumulative incidence of colon cancer, and Cox proportional hazards models were used to calculate hazard ratios (HR) and 95% confidence intervals (CI), adjusting for confounding factors. The analysis included data from 10,332,397 individuals, with a mean (± SD) age of 45.5 ± 13.1 years, and 54.9% were male. In males with a body mass index (BMI) range of 18-30 kg/m<sup>2</sup>, both a weight gain of 5-20% (HR 1.07, P > z 0.01 [95% CI 1.02-1.13]) and weight gain > 20% (HR 1.27, P > z 0.03 [95% CI 1.03-1.56]) were associated with an increased risk for colon cancer. In addition, males < 40 years of age exhibited a higher risk for colon cancer with > 20% weight gain (HR 1.65, P > z < 0.001 [95% CI 1.18-2.30]). Whereas, females within the BMI range of 18-30 kg/m<sup>2</sup> who exhibited > 20% weight loss demonstrated a reduced risk (HR 0.77, P > z 0.04 [95% CI 0.60-0.98]). Moreover, females ≥ 40 years of age, who experienced weight loss > 20%, exhibited a decreased risk for colon cancer (HR 0.76; P > 0.02 [95% CI 0.60-0.96]). This nationwide cohort study demonstrated a relationship between body weight changes and the incidence of colon cancer, with differences based on sex and age. In particular, avoiding weight gain is crucial for males < 40 years of age, whereas weight loss could be beneficial for females > 40 years of age in reducing the risk of colon cancer."
0,"Plasma fatty acids and risk of colon and rectal cancers in the Singapore Chinese Health Study. Fatty acid composition in plasma captures both dietary intake and endogenous synthesis. Prospective analyses of plasma fatty acid composition are needed to establish the role of monounsaturated fatty acids (MUFAs) and polyunsaturated fatty acids (PUFAs) on risk of developing colorectal cancer. To evaluate associations between plasma fatty acid composition and colon or rectal cancer risk separately, a nested case-control study of 350 colorectal (211 colon and 139 rectal) cancer cases and an equal number of individually matched control subjects was conducted within the Singapore Chinese Health Study, a cohort of 63,257 men and women recruited between 1993 and 1998. Fatty acids in pre-diagnostic plasma were quantified using gas chromatography–tandem mass spectrometry. Conditional odds ratios (ORs) and 95% confidence intervals (CIs) comparing highest to lowest quartiles are presented. For colon cancer, inverse associations were reported with higher essential PUFAs, α-linolenic acid (OR = 0.41; 95% CI: 0.23, 0.73; P;  trend = 0.005) and linoleic acid (OR = 0.43; 95% CI: 0.23, 0.82; P;  trend = 0.008). Higher desaturase activity in the n-6 PUFA synthesis pathway estimated by the arachidonic:linoleic acid ratio was associated with increased colon cancer risk (OR = 3.53; 95% CI: 1.82, 6.85; P;  trend = 0.006), whereas higher desaturase activity in the MUFA synthesis pathway estimated by the oleic:stearic acid ratio was associated with decreased colon cancer risk (OR = 0.42; 95% CI: 0.19, 0.92; P;  trend = 0.024). There was no significant association between the essential fatty acids or the desaturase indices and rectal cancer risk. Endogenous synthesis of arachidonic and oleic acids has an impact on colon cancer development. Higher consumption of “good fats,” or their natural creation by the body, may help protect people from colon cancer. Jian-Min Yuan from the University of Pittsburgh, USA, and colleagues used samples from the Singapore Chinese Health Study to examine fatty acids contained in blood plasma from 350 people who later developed colorectal cancer and an equal number of matched control individuals. They found that higher blood levels—which reflect dietary intake—of the essential polyunsaturated fatty acids linolenic acid and α-linolenic acid were associated with a lower risk of colon cancer. So was oleic acid, a monounsaturated fat created by the body, whereas conversion of linolenic acid to another fatty acid called arachidonic acid boosted colon cancer risk. No effect was seen on rectal cancer risk. Diets rich in linolenic acid may help prevent colon cancer."
0,"Tumor derived exosomal ENTPD2 impair CD8+ T cell function in colon cancer through ATP-adenosine metabolism reprogramming. <AbstractText Label=""BACKGROUND"">Extracellular ATP-AMP-adenosine metabolism plays a pivotal role in modulating tumor immune responses. Previous studies have shown that the conversion of ATP to AMP is primarily catalysed by Ectonucleoside triphosphate diphosphohydrolase 1 (ENTPD1/CD39), a widely studied ATPase, which is expressed in tumor-associated immune cells. However, the function of ATPases derived from tumor cells themselves remains poorly understood. The purpose of this study was to investigate the role of colon cancer cell-derived ATPases in the development and progression of colon cancer.</AbstractText>;           <AbstractText Label=""METHODS"">Bioinformatic and tissue microarray analyses were performed to investigate the expression of ATPase family members in colon cancer. An ATP hydrolysis assay, high-performance liquid chromatography (HPLC), and CCK8 and colony formation assays were used to determine the effects of ENTPD2 on the biological functions of colon cancer cells. Flow cytometric and RNA-seq analyses were used to explore the function of CD8<sup>+</sup> T cells. Immunoelectron microscopy and western blotting were used to evaluate the expression of ENTPD2 in exosomes. Double-labelling immunofluorescence and western blotting were used to examine the expression of ENTPD2 in serum exosomes and colon cancer tissues.</AbstractText>;           <AbstractText Label=""RESULTS"">We found that ENTPD2, rather than the well-known ATPase CD39, is highly expressed in cancer cells and is significantly positively associated with poor patient prognosis in patients with colon cancer. The overexpression of ENTPD2 in cancer cells augmented tumor progression in immunocompetent mice by inhibiting the function of CD8<sup>+</sup> T cells. Moreover, ENTPD2 is localized primarily within exosomes. On the one hand, exosomal ENTPD2 reduces extracellular ATP levels, thereby inhibiting P2X7R-mediated NFATc1 nuclear transcription; on the other hand, it facilitates the increased conversion of ATP to adenosine, hence promoting adenosine-A2AR pathway activity. In patients with colon cancer, the serum level of exosomal ENTPD2 is positively associated with advanced TNM stage and high tumor invasion depth. Moreover, the level of ENTPD2 in the serum exosomes of colon cancer patients is positively correlated with the ENTPD2 expression level in paired colon cancer tissues, and the ENTPD2 level in both serum exosomes and tissues is significantly negatively correlated with the ENTPD2 expression level in tumor-infiltrating CD8<sup>+</sup> T cells.</AbstractText>;           <AbstractText Label=""CONCLUSION"">Our study suggests that exosomal ENTPD2, originated from colon cancer cells, contributes to the immunosuppressive microenvironment by promoting ATP-adenosine metabolism. These findings highlight the importance of exosome-derived hydrolytic enzymes as independent entities in shaping the tumor immune microenvironment.</AbstractText>;           <CopyrightInformation>© 2024. The Author(s).</CopyrightInformation>"
0,"The effect of DNA mismatch repair (MMR) status on oxaliplatin-based first-line chemotherapy as in recurrent or metastatic colon cancer Colon cancer with DNA mismatch repair (MMR) defects reveals distinct clinical and pathologic features, including a better prognosis but reduced response to 5-fluorouracil (5-FU)-based chemotherapy. A current standard treatment for recurrent or metastatic colon cancer uses capecitabine plus oxaliplatin (CAPOX), or continuous-infusion fluorouracil plus oxaliplatin (FOLFOX). This study investigated the effect of MMR status on the treatment outcomes for CAPOX and FOLFOX as first-line combination chemotherapy in recurrent or metastatic colon cancer. We analyzed 171 patients who had been treated with CAPOX or FOLFOX as first-line combination chemotherapy in recurrent or metastatic colon adenocarcinoma between February 2004 and July 2008. Tumor expression of the MMR proteins, MLH1 and MSH2, was detected by immunohistochemistry (IHC) in surgically resected tumor specimens. The microsatellite instability (MSI) was analyzed by polymerase chain reaction (PCR) amplification, using fluorescent dye-labeled primers specific to microsatellite loci. Tumors with MMR defect were defined as those demonstrating a loss of MMR protein expression (MMR-D) and/or a microsatellite instability-high (MSI-H) genotype. In all, 75 patients (44%) received FOLFOX, and 96 patients (56%) received CAPOX as first-line combination chemotherapy. The incidence of colon cancer with MMR defect was 10/171 (6%). Colon cancers with MMR defect (MSI-H and/or MMR-D) are more commonly located in proximal to the splenic flexure (p = 0.03). The MMR status did not significantly influence the overall response (p = 0.95) to first-line CAPOX or FOLFOX treatment in patients with recurrent or metastatic colon cancer. According to the MMR status, there was no significant difference for PFS (p = 0.50) and OS (p = 0.47) in patients with recurrent or metastatic colon cancer treated with first-line CAPOX or FOLFOX. In colon cancers with MMR defect, there was no significant difference for PFS (p = 0.48) and OS (p = 0.56) between CAPOX and FOLFOX as first-line combination chemotherapy. However, in MMR intact, there was significant difference for OS between CAPOX and FOLFOX (p = 0.04). OS was significantly better in patients treated with CAPOX when compared to patients with FOLFOX. The MMR status does not predict the effect of oxaliplatin-based combination chemotherapy as 1st line in recurrent or metastatic colon cancers. CAPOX in the first-line treatment of recurrent or metastatic colon cancer with MMR intacts showed a superior OS compared with FOLFOX unlike colon cancer with MMR defects."
