Label,Text
3,"Mutations and polymorphisms of genes moderate increase in gastric cancer risk Results of studies performed in our center point at DNA changes of many cancer (mostly moderate) susceptibility genes. Association of ""weak"" mutations and polymorphism of many genes and additional influence of environmental factors can significantly increase the risk of cancer development.; ; The preliminary studies performed in our department indicate, that increased risk of gastric cancer may be related to mutation in NOD2 and CHK2 genes predisposing to cancers of many organs.; ; The CHEK2 gene encodes checkpoint kinase 2 (Chk2), it acts as a tumor suppressor whose functions are central to the induction of cell cycle arrest and apoptosis by DNA damage.; ; Results of studies performed in our center indicate that the frequency of the IVS2+1G→A alteration was significantly increased in a group of 658 consecutive patients, especially in those under 50 years of age (OR=5.332, p=0.0174). I157T was over-represented in the group of familial gastric cancer patients, particularly in patients diagnosed at less than 50 years of age (OR=3.687, p=0.0011) and females. The specific group of intestinal and mixed histopathological subtype occurs more frequently (OR=1.671) in consecutive carriers of I157T mutation.; ; Recently, the NOD2/CARD15, gene located on chromosome 16q12, has been associated with Crohn’s disease. It is believed to play a role both in intracellular recognition of lipopolysaccharides (LPS) typical of Gram negative bacteria and subsequent activation of NFkB. 3020insC NOD2 mutation causes an increased risk of developing chronic inflammatory diseases of the gastrointestinal tract and colorectal cancer in their course. In light of recent studies, in fact 3020insC mutation predisposes to cancers of many organs, including breast, ovarian, lung. Studies conducted in our center in the group of 103 patients with a family history of gastric cancer, have shown that NOD2 3020insC carriers in persons over 50 y of age more than doubled (OR=2.479, p=0.022) and among women almost 3-fold increased risk. In addition, NOD2 R702W alteration occurred almost three times more frequently (OR=2.816, p=0.0121) in the group of 241 consecutive patients with gastric cancer diagnosed before 50 years of age and over 2-times frequently (OR=2.268, p=0.0371) in gastric cancer selected histopathologically as intestinal type according to Lauren.; ; There are a large number of reports describing the relationship between changes in the gene TP53, particularly polimomorfizm Arg72Pro, and risk of gastric cancer. Many researchers have found links between gene polymorphism of Interleukin-1, and the risk of stomach cancer. Gene polymorphism of angiotensin converting enzyme ACE, was recently linked with the pathogenesis and development of human cancers. Research Ebert MP, et al. conducted in a group of 88 patients shows that the insertion / deletion ACE gene may be associated with the development of early gastric cancer in the German population. In the Japanese population genetically distant, however, found no relationship between gastric cancer and ACE gene polymorphism). Sentences on the ACE polymorphism and risk of stomach cancer researchers are divided among different centers.; ; XRCC1 gene is part of composite protein complex containing the s-polymerase DNA ligase I and PARP (polymerase poly (ADP-ribose). This multi-unit complex is involved in DNA repair pathway. T. Poplawski et al. indicate that the variant Gln / Gln XRCC1 gene polymorphism Arg399Gly occurred more frequently in patients with gastric cancer and family burden (OR=2.04, 95% CI=1,27-3,29) and the results obtained from studies in the group of 152 patients with a family history of gastric cancer suggest that gene XRCC1 399Gln allele may be considered a marker of gastric cancer.; ; In terms of predisposition to gastric cancer has also been studied recently LAPTM4B gene associated with a genetic predisposition to liver cancer, having LAPTM4B alleles * 1 and LAPTM4B * 2. The risk of stomach cancer was increased 1.819 times in patients with genotype * 1 / 2 (CI=1.273-2.601) and 2.387 times in patients with genotype * 2 / 2 LAPTM4B (CI=1.195-4.767) compared with genotype * 1 / first. These studies indicate that allele * 2 LAPTM4B may be one of the genetic factors of gastric cancer.; ; Further studies of newly described mutation moderately increased risk of stomach cancer may allow to estimate the real risk of gastric cancer associated with these mutations in the Polish population."
3,"Hereditary colorectal cancer and Lynch syndrome The term Hereditary Nonpolyposis Colorectal Cancer, or HNPCC, has been less used for naming the classical autosomal dominantly inherited susceptibility to cancer [1]. As this susceptibility applies to tumors from different primary sites other than but including colorectal cancer (CRC), the term Lynch Syndrome (LS) is a less restrictive name. Lynch Syndrome is characterized by an autosomal dominantly inherited susceptibility to cancer, caused by inherited germline mutations in the mismatch repair (MMR) genes. It is characterized by early age of onset, predilection to the proximal colon, multiple primary CRCs, and extracolonic tumors, particularly endometrium carcinoma (EC) [2,3].; ; To establish a profile of the disease, a better definition of the spectrum of related tumors has been a constant concern [4,5]. It is therefore expected to find heterogeneity among the families regarding the susceptibility to develop tumors in different specific sites. The risk of cancer in fact varies among families with LS, although the variation does not necessarily result from genetic heterogeneity. The standards of environmental exposure must contribute to the differential gene expression, justifying at least in part this heterogeneity [6].; ; LS accounts for 2%–5% of all CRC cases [7]. In fact, it is believed that 20% to 30% of patients with CRC present some type of genetic susceptibility, but without meeting criteria for known typical syndromes. However, new cancer cases in the patient’s family or supplemental information on previously unknown cases can lead to a reclassification that may characterize a typical syndrome. In other situations, despite the lack of clinical criteria for determining an inherited character, molecular inquiry can define the diagnosis of inherited syndrome. For these reasons, even in the absence of typical clinical characterization, criteria must be used to direct the inquiry of an inherited condition.; ; The spectrum of extracolonic tumors in LS began to be the subject of several publications in which the most common cancers found were those affecting the endometrium, the stomach and the urinary tract [8-14]. Watson and Lynch [6] calculated the frequency of cancer in other specific sites in 1,300 high-risk individuals from 23 families having LS and demonstrated a significant increase of the risk of developing cancer in the stomach (RR:4.1), small bowel (RR:25), kidneys (RR:3.2), ureter (RR:22), and ovary (RR:3.5). The proposed extracolonic cancers associated with LS are endometrium, stomach, ovary, small bowel, ureter, renal pelvis, brain, and hepatobiliary tract. Among these tumors, endometrium, ureter, renal pelvis, and small bowel cancers present the highest relative risk, and are therefore the most specific for LS.; ; The Amsterdam criteria for clinical diagnosis of LS are: (1) at least three relatives must have histologically verified CRC, endometrium, ureter, renal pelvis, or small bowel cancer; (2) one must be a first-degree relative of the other two; (3) at least two successive generations must be affected; (4) at least one of the relatives with cancer must have received the diagnosis before age 50; and (5) familial adenomatous polyposis must have been excluded. Because there are families with an MMR mutation present exclusively in patients with endometrial cancer without CRC, the requirement of at least one case of CRC was suppressed [15,16].; ; Patients with LS may also have sebaceous adenomas, sebaceous carcinomas, and multiple keratoacanthomas, findings consonant with Torre’s syndrome variant [17,18]. The definition of LS includes a familial clustering of colorectal and/or endometrial cancer and as associated cancers stomach, ovary, ureter/renal pelvis, brain, small bowel, hepatobiliary tract, and skin (sebaceous tumors) tumors [15,19].; ; As discussed by Vasen [20], since it is known that LS is caused by an mismatch repair gene defect and that the hallmark of the syndrome is microsatellite instability (MSI), more attention should be given to the so-called Bethesda guidelines, which describe almost all clinical conditions in which there is suspicion of LS and in which a search for MSI is indicated, mainly early onset of colorectal adenomas and cancer."
3,"Appropriateness of splenectomy for advanced cancer located in the upper third of the stomach In cases of total gastrectomy for cancer located in the upper third of the stomach, the appropriateness of performing a splenectomy as a preventive dissection for spleen hilum lymph node (station number 10) has been broadly discussed in terms of both oncological principle and operational safety; however, no conclusions have yet been reached. Regarding our report [1], Hanisch and Ziogas [2] questioned whether or not it was appropriate, based on oncological principles, to select a surgical procedure of spleen preservation for advanced cancer located in the upper third of the stomach, in particular for cases of pathologically advanced serosa-positive (pT3) and nodepositive disease. Certainly, in terms of oncological concerns, it is correct to point out that not performing a spleen hilum lymph node dissection for pT3 cases involves the risk of increasing the possibility of postoperative recurrence. This is because a surgical spleen hilum lymph node dissection can be expected to be effective because the spleen is an organ adjacent to the stomach, connected to the stomach via short gastric arteries, and also having a close relationship with the stomach through lymphatic routes. In fact, in Japan, for cases of advanced stomach cancer with wall invasion of pT2 or higher (pT2, T3, T4), gastrectomy together with a D2 lymph node dissection has been recommended as a standard therapy [3, 4]. The purpose of our present study is to compare the surgical results of laparoscopy-assisted total gastrectomy (LATG), which preserves the spleen, and open total gastrectomy (OTG). Candidates for LATG comprised cases of clinical T1 (cT1) early-stage stomach cancer, while candidates for OTG comprised cases of advanced cancers with lower potential for spleen hilum lymph node metastasis. Specifically, we conducted a retrospective analysis of cases with lesions sized 5 cm or less in which there was no infiltration of the serosa and the spleen was preserved for those in which the lesion did not come into contact with the greater curvature. In such cases, we believed that the risk of postoperative recurrence through spleen hilum lymph node metastasis was low. On the other hand, in cases in which the lesion-occupied region is the greater curvature or in which the diameter of the tumor is large, spleen hilum lymph node metastasis is highly likely to occur and total gastrectomy with splenectomy is therefore more likely to be necessary. For the OTG group in our present study, cases of up to cT2 in the preoperative diagnosis were selected as candidates; however, pathologically, pT3 was present in 13/44 cases (29.5%), thus indicating the difficulty in obtaining preoperative diagnosis of wall invasion. We hope there will be more progress in diagnostic techniques of wall invasion in the future. In retrospective studies of cases of splenectomy for cancer located in the upper third of the stomach in Europe and the USA [5, 6], in many cases, the 5-year survival rate of splenectomy cases is lower by 10% or more compared with cases of spleen preservation. However, it is believed that this reflects the fact that the splenectomy group contains more cases with high levels of advancement, or that these results are due to the poor short-term surgical results of the splenectomy group, and therefore, these results do not accurately reflect the oncological appropriateness of a splenectomy (i.e., the effects of lymph node dissection). On the other hand, in studies conducted in Japan, there are few reports in which the 5-year survival rate is improved by S. Sakuramoto (&) K. Yamashita M. Watanabe Department of Surgery, Kitasato University School of Medicine, 2-1-1 Asamizodai, Sagamihara, Kanagawa 228-8520, Japan e-mail: sakura@med.kitasato-u.ac.jp"
3,"Sentinel Node Biopsy in Early Gastric Cancer: Constant Exertion for Clinical Application Lymph node status is the most important prognostic factor in gastric cancer. Standard surgery, therefore, is radical subtotal or total gastrectomy with wide dissection of regional lymph nodes. Recently, the proportion of early gastric cancer has increased to more than 60% in Korea and Japan because of screening gastroscopy. The rate of lymph node metastasis in early gastric cancer ranges from 5 to 20%, which means that more than 80% of patients with early gastric cancer undergo unnecessarily wide excision of the stomach with aggressive lymphadenectomy. If there is a tool to predict the exact status of lymph nodes, radical gastrectomy with lymphadenectomy can be substituted with limited resection of stomach without lymph node dissection. However, preoperative endoscopic ultrasound and computed tomography have limited accuracy for nodal staging in gastric cancer patients. The sentinel node (SN) concept has been introduced into various solid tumors, including stomach cancer, to predict lymph node status. Ideally, if the SN has no metastasis, extensive lymphadenectomy can be avoided, the extent of resection of the stomach reduced, function preserved, complications lessened, recovery accelerated, and the quality of life for the patient improved. SN navigation surgery has been widely performed for the treatment of breast cancer and malignant melanoma. Regarding gastric cancer, it seemed that SN concept is difficult to apply because the lymphatic flow is multidirectional. However, many studies reported that SN mapping is feasible in gastric cancer especially in early gastric cancer even though many issues still remain to be solved. Sensitivity of SN biopsy is highly important in gastric cancer compared with breast cancer and malignant melanoma. When false-negative cases develop in patients with malignant melanoma or breast cancer, other treatment options, such as chemotherapy and radiotherapy exist. Because gastric cancer has no other treatment option except surgery, a gastric cancer patient with false-negative SN loses an opportunity for cure. The detection rate is not as important as sensitivity in gastric cancer SN biopsy. Surgeons should perform just conventional lymphadenectomy for detection failure cases. Sensitivities of SN mapping in gastric cancer reported until now are not adequate for clinical application. Until now, the sensitivities were generally low and even the studies with high sensitivity had small number of cases with lymph node metastasis. There are several methods to increase the sensitivity of SN biopsy in gastric cancer. As pathologic methods, multiple sections of the SN may raise the rate of detecting lymph node metastases. Immunohistochemistry (IHC) staining with anti-cytokeratin antibody helps to detect micrometastases in SNs in addition to conventional hematoxylin and eosin (HE) staining. Reverse transcription-polymerase chain reaction (RT-PCR) using tumor markers, such as carcinoembryonic antigen, cytokeratin, or CD44, also is good tool for molecular detection of SN micrometastases. Rapid IHC or real-time RT-PCR is needed so that IHC or RT-PCR is applicable to SN biopsy for gastric cancer. Takeuchi et al. 1 introduced a novel realtime multiplex RT-PCR assay that is suitable for intraoperative detection of micrometastasis in SNs for the patients with clinical N0 gastric carcinoma. In the present study, 31% of patients with no metastasis over histological diagnosis were RT-PCR positive and the diagnostic accuracy is significantly higher in their multiplex RT-PCR assay than in intraoperative histopathology. Because the time taken for the assay is just 80 minutes, real-time multiplex RT-PCR is thought to be applicable for use in the intraoperative diagnosis of SN. Society of Surgical Oncology 2011"
3,"Do We Need Multiple Biopsies for Assessing Gastric Cancer Risk It is widely accepted that differentiated-type gastric cancers evolve through a multistep process starting with Helicobacter pylori-associated superficial gastritis, followed by atrophy, intestinal metaplasia (IM), dysplasia, and finally carcinoma [1]. Thus, the identification of such precancerous condition and follow-up of patients in whom they are found could lead to the diagnosis of gastric cancer at early stage and improved patient survival. However, diagnosis of atrophy and IM by conventional white light endoscopy has high inter-observer variability [2] and a poor correlation with histological findings [3]. Consequently, the diagnosis of atrophy or IM is currently based on histology of biopsy specimens from certain anatomic locations of the gastric mucosa, i.e., the updated Sydney system [4]. This system recommends taking at least five biopsy specimens (two from the antrum, two from the corpus and one from the incisura angularis) to grade severity of neutrophils (activity) and lymphocytic infiltration (inflammation), glandular atrophy (atrophy), and intestinal metaplasia. A recent Western publication proposes a staging system to classify gastric cancer risk in clinical practice on the basis of the histological findings of multiple biopsies [5]. The reason for taking biopsies from multiple sites in the stomach is that the grade and distribution of gastritis are different at each site of the stomach in a patient with chronic atrophic gastritis. Mapping studies of biopsy findings suggested that chronic atrophic gastritis develops from the lesser curvature of the lower gastric body and extends upward and laterally in the corpus [6]; therefore, knowledge of the biopsy site is important to interpret histological finding of gastritis in multiple biopsy specimens. When we investigated association between gastric cancer risk and histological grade of gastritis at the each biopsy site in the stomach, the presence of IM in the lesser curvature of the corpus had the strongest association with cancer risk among other findings of gastritis in the other sites [7]. Although gastritis is regarded as a histological entity, many attempts have been made to diagnose the disease macroscopically during esophagogastroduodenoscopy (EGD). Kimura et al. [8] suggested that the endoscopic finding of atrophic mucosa was pale yellowish mucosa with increased mucosal vessel visibility, indicating that it was related to histological finding of atrophy of fundic gland (pseudo-pylorization) by step-wise biopsy across the endoscopic atrophic border. When the atrophic border remained on the lesser curvature of the corpus, the diagnosis was made as closed-type atrophic gastritis (antral predominant gastritis), whereas when the atrophic border no longer exists on the lesser curvature and extends along the anterior and posterior walls of the stomach, the diagnosis was made as open-type atrophic gastritis (pangastritis or corpus predominant gastritis). This endoscopic diagnostic criterion is commonly accepted and practically used for the diagnosis of chronic atrophic gastritis in Japan. Actually, Uemura et al. [9] indicated that extent of mucosal atrophy diagnosed by endoscopy was associated with risk for development of gastric cancer in a large-scale cohort study. In contrast to point evaluation of gastritis by biopsy, endoscopy is advantageous to evaluate the actual extent and distribution of atrophy or IM in the gastric mucosa that is related to gastric carcinogenesis. Ahn et al. [10] showed that mucosa in patients with open-type atrophic gastritis had more IM and Cdx2 N. Uedo (&) Department of Gastrointestinal Oncologym, Endoscopic Training and Learning Center, Osaka Medical Center for Cancer and Cardiovascular Diseases, 3-3 Nakamichi 1-chome, Higashinari-ku, Osaka 537-8511, Japan e-mail: uedou-no@mc.pref.osaka.jp"
3,"Is Pylorus-preserving Gastrectomy Universally Applicable to Early Gastric Cancer of the Mid Stomach? Recent advances in endoscopic diagnosis have allowed gastric cancer to be diagnosed early, often in asymptomatic patients. Currently, endoscopic mucosal resection and endoscopic submucosal dissection are accepted as the least invasive procedures when managing early gastric cancer (cT1). An important intermediate option before open gastrectomy is laparoscopic gastrectomy. Advanced laparoscopic gastrectomy contributes to both improved esthetics and earlier postoperative recovery. However, quality of life is mainly affected by late-postoperative phase complications, such as dumping syndrome and loss in body weight resulting from reduced oral intake. Pylorus-preserving gastrectomy (PPG), with limited stomach resection and lymph node dissection, is an example of function-preserving surgery that can improve late-postoperative phase function. In general, PPG is applicable to patients who were preoperatively diagnosed with cT1N0M0 primary gastric cancer in the middle third of the stomach, when the distal tumor border is C4 cm away from the pylorus. During the procedure, infrapyloric vessels are routinely preserved to maintain a suitable blood supply to the pyloric cuff, as is the root of the right gastric artery. Furthermore, the hepatic and pyloric branches of the vagus nerves are routinely preserved. More recently, laparoscopy-assisted pylorus-preserving gastrectomy (LAPPG) with lymphadenectomy has presented an attractive option. Several groups have indicated that LAPPG is a feasible and reliable procedure with satisfactory postoperative symptoms and functional outcomes. However, the incidence of metastasis in the preserved regional lymph nodes remains an obstacle to the wider application of the function-preserving surgery. In particular, lymph nodes at the suprapyloric and infrapyloric stations may be incompletely dissected when preserving nerve and arterial branches in either PPG or LAPPG. Therefore, metastatic tumor in residual suprapyloric and infrapyloric lymph nodes may contribute to disease recurrence in patients who undergo PPG. Although several studies have indicated acceptable long-term outcomes and survival rates after both PPG and LAPPG, neither has gained widespread use in standard clinical practice. Recently, Kim et al. attempted to evaluate the status of micrometastasis in suprapyloric and infrapyloric lymph nodes in early gastric cancers that are located in the mid stomach and managed with PPG. They found that the mean number of collected suprapyloric lymph nodes was significantly lower after PPG than with conventional distal gastrectomy; the findings were not significant for infrapyloric lymph nodes. Moreover, they determined that all metastasis (both macro and micro) to suprapyloric and infrapyloric lymph nodes are essentially very rare and that the long-term survival of patients after PPG was acceptable. They concluded that micrometastasis to the suprapyloric and infrapyloric lymph nodes may be negligible, and that PPG may be a safe procedure for early gastric cancer located in the mid stomach. This study essentially supports earlier work evaluating the oncological reliability of PPG. However, this study should be interpreted with caution because it was retrospective in design and involved a single-center cohort with a relatively small number of patients. Furthermore, the study failed to completely assess the primary tumor location (e.g., lesser curvature side, anterior wall). When evaluating a surgical procedure in a single-center study, results can be biased by the surgical skill base at that institution. In particular, LAPPG is a technically difficult surgery for inexperienced surgeons, involving precise Society of Surgical Oncology 2013"
3,"Burden of Stomach Cancer Incidence, Mortality, Disability-Adjusted Life Years, and Risk Factors in 204 Countries, 1990-2019: An Examination of Global Burden of Disease 2019. <AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">Stomach cancer is a global health problem and is one of the leading causes of cancer deaths worldwide. This study investigates the spatial and temporal patterns of stomach cancer burden in 204 countries in the last three decades.</AbstractText>;           <AbstractText Label=""DATA AND METHODS"" NlmCategory=""METHODS"">The estimates of stomach cancer burden and its risk factors were obtained from the Global Burden of Disease (GBD) 2019 study, covering the years 1990 to 2019, across 204 countries within 21 world regions. GBD employs the cause-of-death ensemble modeling framework to calculate disease-specific mortality estimates. Estimated average percent change (EAPC) of absolute counts (incidence, mortality, and disability-adjusted life years (DALYs)) and age-standardized rates (age-standardized incidence rate (ASIR), age-standardized mortality rate (ASMR), and age-standardized DALYs rate (ASDALR)) was calculated in the regions to illustrate the relative changes between 1990 and 2019. Joinpoint regression was used to analyze global trends of stomach cancer burden in the last three decades.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">Incidence of stomach cancer globally increased from 883,396 cases in 1990 to 1.3 million cases in 2019 and number of deaths due to stomach cancer rose from 788,317 in 1990 to 957,185 in 2019. Between 1990 and 2019, the global ASIR decreased from 22.4 per 100,000 to 15.6 per 100,000, the ASMR decreased from 20.5 per 100,000 to 11.9 per 100,000 and the ASDALR declined from 493.4 per 100,000 to 290.6 per 100,000. Trend analysis using joinpoint regression revealed the slowest rise in incident cases and largest decline in ASIR between 2004 and 2016. In 2019, East Asia had the highest number of incident cases, totaling 626,489, followed by high-income Asia-Pacific (128,168) and South Asia (99,399). The ASIR was the highest in East Asia (30.2/100,000) followed by high-income Asia-Pacific (28.2/100,000) and Andean Latin America (22.4/100,000), while high-income North America had the lowest ASIR at 6.1/100,000. In terms of absolute counts, the top three countries in 2019 were China, India, and Japan together accounting for 61.5% of global incident cases, 58.6% of deaths, and DALYs. Mongolia had the highest ASIR (43.7 per 100,000), followed by Bolivia (34.0 per 100,000) and China (30.6 per 100,000) in 2019, while the lowest ASIR was 3.3 per 100,000 in Malawi. Globally, for both sexes combined, 7.8% of stomach cancer DALYs were associated with a diet high in sodium and 17.2% were linked to smoking. Among males, 24.0% of stomach cancer DALYs were attributable to smoking, compared to only 4.3% in females in 2019.</AbstractText>;           <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">Significant progress has been made globally in the fight against stomach cancer, with the ASIR decreasing by 30.3% and the ASMR by 41.2% between 1990 and 2019. To further reduce the burden of stomach cancer, it is essential to address factors such as Helicobacter pylori prevalence, obesity, and smoking. Additionally, improvements in early detection, socioeconomic development (including better public sanitation, hygiene, and drinking water), and dietary habits are imperative.</AbstractText>;           <CopyrightInformation>© 2024. The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.</CopyrightInformation>"
3,"Appraising associations between signature lipidomic biomarkers and digestive system cancer risk: novel evidences from a prospective cohort study of UK Biobank and Mendelian randomization analyses. <AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">The roles of serum lipids on digestive system cancer (DSC) risk were still inconclusive. In this study, we systematically assessed indicative effects of signature lipidomic biomarkers (high-density lipoprotein cholesterol (HDL-C), low-density lipoprotein cholesterol (LDL-C), and triglycerides (TG)) on DSC (oesophagus, stomach, colorectal, liver, gallbladder, and pancreas cancers) risk.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">HDL-C, LDL-C, and TG concentration measurements were respectively analyzed with enzyme immunoinhibition, enzymatic selective protection, and GPO-POD methods in AU5800 supplied from Beckman Coulter. The diagnoses of DSCs were coded using International Classification of Diseases, Tenth Revision (ICD-10) codes updated until October 2022 in the UK Biobank (UKB). In this study, we assessed phenotypic association patterns between signature lipidomic biomarkers and DSC risk using restricted cubic splines (RCSs) in multivariable-adjusted Cox proportional hazards regression models. Moreover, linear and nonlinear causal association patterns of signature lipidomic biomarkers with DSC risk were determined by linear and nonlinear Mendelian randomization (MR) analyses.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">A median follow-up time of 11.8 years was recorded for 319,568 participants including 6916 DSC cases. A suggestive independent nonlinear phenotypic association was observed between LDL-C concentration and stomach cancer risk (P<sub>nonlinearity</sub> &lt; 0.05, P<sub>overall</sub> &lt; 0.05). Meanwhile, a remarkable independent linear negative phenotypic association was demonstrated between HDL-C concentration and stomach cancer risk (P<sub>nonlinearity</sub> &gt; 0.05, P<sub>overall</sub> &lt; 0.008 (0.05/6 outcomes, Bonferroni-adjusted P)), and suggestive independent linear positive associations were observed between HDL-C concentration and colorectal cancer risk, and between TG concentration and gallbladder cancer risk (P<sub>nonlinearity</sub> &gt; 0.05, P<sub>overall</sub> &lt; 0.05). Furthermore, based on nonlinear and linear MR-based evidences, we observed an suggestive independent negative causal association (hazard ratio (HR) per 1 mmol/L increase: 0.340 (0.137-0.843), P = 0.020) between LDL-C and stomach cancer risk without a nonlinear pattern (Quadratic P = 0.901, Cochran Q P = 0.434). Meanwhile, subgroup and stratified MR analyses both supported the category of LDL-C ≥ 4.1 mmol/L was suggestively protective against stomach cancer risk, especially among female participants (HR: 0.789 (0.637-0.977), P = 0.030) and participants aged 60 years or older (HR: 0.786 (0.638-0.969), P = 0.024), and the category of TG ≥ 2.2 mmol/L concluded to be a suggestive risk factor for gallbladder cancer risk in male participants (HR: 1.447 (1.020-2.052), P = 0.038) and participants aged 60 years or older (HR: 1.264 (1.003-1.593), P = 0.047).</AbstractText>;           <AbstractText Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"">Our findings confirmed indicative roles of signature lipidomic biomarkers on DSC risk, notably detecting suggestive evidences for a protective effect of high LDL-C concentration on stomach cancer risk, and a detrimental effect of high TG concentration on gallbladder cancer risk among given participants.</AbstractText>;           <CopyrightInformation>© 2024. The Author(s).</CopyrightInformation>"
3,"Cancer mortality in a Chinese population surrounding a multi-metal sulphide mine in Guangdong province: an ecologic study The Dabaoshan mine in the southeast of Guangdong Province, China, is at high risk of multi-metal pollutant discharge into a local river (Hengshihe) and the surrounding area. Following approximately 30 years of exposure to these metals, little is known regarding the subsequent health effects and risks for the local residents. In our present study, we have estimated the relationships between long-term environmental exposure to multiple heavy metals and the risk of cancer mortality in a Chinese population in the vicinity of Dabaoshan. An ecologic study was performed. Between 2000-2007, a total population of 194,131 lived in the nine agricultural villages that surround the Hengshihe area. Heavy metals concentrations were determined in local environmental samples (water and crops) and whole blood taken from 1152 local residents of both a high-exposure area (HEA) and a low-exposure area (LEA). We calculated the rate ratio and standardized mortality ratios based on age- and gender-specific cancer mortality rates for the different reference populations (based on district, county and province). Simple, multiple linear and ridge regression models were used to evaluate the associations between exposure to multiple heavy metals and cancer mortality in the nine villages, after adjustment for age and sex. The geometric mean blood levels of cadmium and lead were measured at 24.10 μg/L and 38.91 μg/dL for subjects (n = 563) in the HEA and 1.87 μg/L and 4.46 μg/dL for subjects (n = 589) from the LEA, respectively (P < 0.001). The rate of mortality from all cancers in the HEA was substantially elevated in comparison with the corresponding mortality rate in the LEA for men (rate ratio = 2.13; 95% confidence intervals = 1.63 - 2.77) and women (2.83; 1.91 - 4.19); rates were also significantly elevated compared with the rate when compared to the entire Wengyuan County area, or the provincial reference population. In addition, mortality rates were significantly increased for stomach, lung and esophageal cancer in the HEA in comparison with the corresponding rates in the LEA, in Wengyuan County and the provincial reference population for men, women and both combined. Further analysis showed that there were significantly positive correlations between exposure to cadmium and lead and the risk of all-cancers and stomach cancer mortality among women and both sexes, whilst zinc exposure showed no association with the risk of site-specific cancer mortality in the nine villages evaluated. The findings of this study reveal probable associations between long-term environmental exposure to both cadmium and lead and an increased risk of mortality from all cancer, as well as from stomach, esophageal and lung-cancers."
3,"Pain in carcinoma of the stomach: Preliminary report In this paper we have attempted to outline in a general way the important pathways of conduction of pain from, and mechanics of production of pain in, the viscera in the upper part of the abdomen. The general principles involved follow a pattern similar to that encountered in cases of benign lesions of the stomach. We felt that, if gastric carcinoma superficially invades the tissues of the stomach and results in disturbances of its normal mechanics, pain may result. This pain would utilize pathways coursing along the splanchnic vessels. In order to be interpreted as pain, these irregularities in mechanics would require an “adequate” stimulus which, in this case, would be spasm or obstruction. If, on the other hand, the lesion burrows through the gastric wall into the tissues surrounding the organ, pain would be relayed to the spinal cord over the spinal sensory group of nerves and, in this instance, wide distribution and reference of pain may be produced. If the lesion invades the regions of the distribution of the phrenic nerve, pain will be referred into the left side of the thorax and to the “peripheral distribution” of this nerve which would be into the left shoulder and the base of the neck. Such a lesion is usually inoperable. Any stimulus which would initiate the sensation of pain on surfaces of the body also could produce pain in penetrating lesions. Applying these hypotheses to the problem of pain in cases of cancer of the stomach permits an explanation of the apparent paradoxical behavior of distress among patients harboring such lesions. Who, at operation or necropsy has not viewed with surprise tremendous cancers involving most of the stomach which have produced no pain whatsoever? After all, this should be no more the cause of astonishment than to witness surgical procedures on the stomach which caused patients no pain even though only local anesthesia was used. The mechanisms which produce pain in such cases depend on the production of an adequate stimulus, such as stretching or constriction of the circular muscular fibers which would require a mechanical disturbance, such as spasm or obstruction. If cancer does not set in motion this adequate stimulus, it is likely to produce no pain whatsoever. If, on the other hand, there is mechanical disturbance such as interference with normal emptying or invasion of the pylorus, pain or at least a sense of epigastric distress is likely to be one of the earlier manifestations of this disease."
